table_name,sensor,variable,n,min,p05,p25,median,mean,p75,p95,max,std
training_matrix_optical_matched_0d.csv,Sentinel-2,green_blue_ratio,29,0.5116749268974948,0.7593819641001767,0.8776455026455027,0.9707079847164856,1.0233552833534996,1.1679469188365212,1.403613918899518,1.749367091663233,0.24400921474250611
training_matrix_optical_matched_1d.csv,HLS,blue,19,-1.3100000000000002e-06,3.7792036339826545e-07,1.162641800246609e-06,2.7312262534318543e-06,3.35253048700454e-06,5.152867006052177e-06,7.0059999999999885e-06,1.21e-05,3.0671641175142686e-06
training_matrix_optical_matched_1d.csv,HLS,green,19,7.000000000000001e-07,1.2106798336798338e-06,1.8918204488778055e-06,4.539375209317898e-06,5.304247394977095e-06,7.810083237146391e-06,1.1127999435347247e-05,1.788e-05,4.339962099903262e-06
training_matrix_optical_matched_1d.csv,HLS,red,19,9.4e-07,1.2100000000000003e-06,2.031750872471125e-06,5.816790576312208e-06,6.080065785994084e-06,9.05447316431161e-06,1.3989647058823524e-05,1.648e-05,4.704797083495388e-06
training_matrix_optical_matched_1d.csv,HLS,nir,19,1.2000000000000004e-07,3.0900000000000003e-07,1.3698614678649455e-06,2.28e-06,4.508790552784279e-06,5.750716516437894e-06,1.668863465332127e-05,1.871849087741817e-05,5.206223731529065e-06
training_matrix_optical_matched_1d.csv,HLS,swir1,19,1.0000000000000001e-07,2.077536256323778e-07,4.047248070463039e-07,6.568209953520016e-07,2.7114488048960812e-06,1.2294014587748268e-06,1.614452629359134e-05,2.183335302600363e-05,5.76474438381691e-06
training_matrix_optical_matched_1d.csv,HLS,swir2,19,9.463208057185233e-08,1.9361226818966398e-07,4.3025139275715163e-07,5.501430228063395e-07,2.4811720307359433e-06,1.007177672606288e-06,1.3523125958378948e-05,2.277216867469879e-05,5.627202734411023e-06
training_matrix_optical_matched_1d.csv,HLS,ndwi,19,-0.5672514619883041,-0.2604507296021928,-0.02754735398270735,0.2227754947917466,0.18700397924656895,0.4013433252137618,0.6036881292488824,0.9393939393939394,0.33509527177183024
training_matrix_optical_matched_1d.csv,HLS,mndwi,19,-0.2731606375514482,-0.06966900493161543,0.26439527797154866,0.5391905917134212,0.5016141299651283,0.7730615023530822,0.9524371327873529,0.9666317701339722,0.3644363967970643
training_matrix_optical_matched_1d.csv,HLS,red_green_ratio,19,0.7822085889570551,0.800413637625979,1.0200468454234801,1.214374693307245,1.1746545197964466,1.292301990566337,1.436854954020338,1.6875773179811628,0.22834863589420307
training_matrix_optical_matched_1d.csv,HLS,green_blue_ratio,19,-0.3544303797468354,1.0565150039833582,1.396737409547308,1.5536319561917031,1.470143805954062,1.651488506060545,1.8175673055677624,2.4305968900698987,0.5110780277063552
training_matrix_optical_matched_1d.csv,Landsat,blue,67,0.003193348641222,0.01036050862068958,0.033791633259776244,0.0484535788690476,0.054539449513621364,0.0619671834286775,0.11019849524365935,0.3314925,0.04379120891530569
training_matrix_optical_matched_1d.csv,Landsat,green,67,0.0153746671333748,0.01976148906381288,0.04503269439123275,0.0686038516518886,0.06856521005750892,0.0839317964275592,0.1299732772207958,0.2786008333333333,0.040499763952162496
training_matrix_optical_matched_1d.csv,Landsat,red,67,0.01252,0.02080233297419655,0.042135391394101496,0.0681256117625848,0.07078637282056323,0.08929534881013175,0.13226801206285355,0.24895125,0.03961499509903377
training_matrix_optical_matched_1d.csv,Landsat,nir,67,0.0041614904494052,0.00944774309515306,0.02698637179730145,0.0435270037487708,0.051071763662866726,0.0644393295489626,0.10319174905341863,0.234995,0.03898087178971989
training_matrix_optical_matched_1d.csv,Landsat,swir1,67,0.0008613126906819,0.00283331591772538,0.00446531594849465,0.0098616666666666,0.018220790830159077,0.016523724532954052,0.05979823345335806,0.1721987499999999,0.028774385763487807
training_matrix_optical_matched_1d.csv,Landsat,swir2,67,0.0016324616541704,0.00186232903334461,0.0029788975243511,0.0068970006765935,0.01452698855411833,0.01277008411454335,0.055537190563126296,0.1298075,0.02376502014371474
training_matrix_optical_matched_1d.csv,Landsat,ndwi,67,-0.0964020907878875,-0.0706912606954574,0.08392149958143835,0.162696437557806,0.18528999996615436,0.27382107836913094,0.47549996041551,0.698082597424835,0.16482142020005613
training_matrix_optical_matched_1d.csv,Landsat,mndwi,67,0.041639482602477,0.13468309296285433,0.43290407044339996,0.7314472770508271,0.6292437620702038,0.8605738940159786,0.9047401678415796,0.9590055108609776,0.26476971008974165
training_matrix_optical_matched_1d.csv,Landsat,red_green_ratio,67,0.4730106574798567,0.8195011187424874,0.9608058614329186,1.0395191508256096,1.032503272915628,1.132952847518133,1.2196529676264576,1.3632651528046675,0.14361460659527334
training_matrix_optical_matched_1d.csv,Landsat,green_blue_ratio,67,0.8485697641752217,0.9494725966763983,1.1533135579294567,1.332078077903024,1.4225624405942505,1.4385775290108098,2.680673393306686,3.612670674735704,0.54240301875327
training_matrix_optical_matched_1d.csv,Sentinel-2,blue,35,0.0126978817169368,0.030686492018385633,0.06765000000000104,0.1046615384615384,0.21716128860934916,0.2311,0.6873485714285713,1.298567844563118,0.27382045942572336
training_matrix_optical_matched_1d.csv,Sentinel-2,green,35,0.0200221379906211,0.032175829304046985,0.07075554067047435,0.0965510766149223,0.20035102003635707,0.2162,0.6453999999999999,0.9822095258255716,0.22623292183759222
training_matrix_optical_matched_1d.csv,Sentinel-2,red,35,0.0171026250638461,0.04088411439006375,0.0737621541623511,0.1066962336594581,0.1938715869598866,0.21545,0.7153279999999999,0.8141852271281331,0.21667051070907137
training_matrix_optical_matched_1d.csv,Sentinel-2,nir,35,0.0014643296186185,0.01771663618991917,0.04859313703703695,0.0872129035318027,0.18170610519547292,0.22714034536891675,0.6144017249417245,0.9208,0.2204707234075207
