variable,group_type,group_value,n,min,p05,p25,median,mean,p75,p95,max,std
surface_runoff_m,river,Lena,87,0.0,0.0,0.0,2.7210816093113123e-08,4.26101683080912e-05,4.748287408248238e-06,9.645285165827035e-05,0.0017515722176303,0.00022455323825393771
surface_runoff_m,river,Mackenzie,103,0.0,0.0,0.0,5.7220458984375e-08,3.249503165772674e-05,1.8900632858276368e-06,3.839164972305297e-05,0.0022935187816619,0.00023237851432500543
surface_runoff_m,river,Ob,87,0.0,0.0,0.0,6.372624255241232e-08,0.00015629584725429188,1.257134878889043e-05,0.00033842277653669026,0.0079667273354023,0.0008896923426953142
surface_runoff_m,river,Yenisey,53,1.4901161193847656e-08,1.1700852724063943e-06,1.0821335760592808e-05,0.0001550574661693,0.02407913778307766,0.001042379066348,0.1753956947262447,0.3761326066099372,0.0766770360609553
surface_runoff_m,river,Yukon,96,0.0,0.0,4.660944605982581e-08,3.5469961720843647e-06,0.00032973388036669146,2.582379898359609e-05,0.001216282678204875,0.0093368357697198,0.0014664372162031647
log_Q,river,Kolyma,85,4.997212273764115,5.067394201949955,5.902633333401366,8.38022733634308,7.736922890771291,8.92399074475818,9.904322381690033,10.09823162932864,1.6155136676916837
log_Q,river,Lena,87,6.907755278982137,7.663674798679945,8.15408933807302,10.01234195744821,9.52976355980776,10.685079816494447,11.578564407711502,12.0015054797889,1.4198660641481289
log_Q,river,Mackenzie,103,7.8119734296220225,8.016350896358853,8.259675957146214,9.268609280100158,9.02647314591106,9.600792095334887,10.096509058978182,10.268130666124037,0.7349274185233672
log_Q,river,Ob,87,8.116715624819111,8.379908621230486,8.658655076248007,9.287301413112312,9.466917905866861,10.344957928632429,10.464242119074926,10.502324053624832,0.7931783858259255
log_Q,river,Yenisey,87,8.674196940225903,8.906509707956898,9.127498405555716,9.595602772766828,9.779954645176627,10.16199824768763,11.301092784768384,11.494761494342557,0.7707922848608472
log_Q,river,Yukon,96,7.069023426578259,7.252698395978251,7.712187002598479,9.241824588448154,8.826322454041955,9.523982153845385,9.898036951543993,10.416730252817723,0.9548464658443234
