dataset_id,window,sensor_scope,comparison_feature_set,baseline_feature_set,candidate_feature_set,is_optical_proxy_feature_set,candidate_model_id,validation_scheme,same_sample_n,baseline_n_folds,candidate_n_folds,baseline_rmse,candidate_rmse,rmse_reduction,baseline_mae,candidate_mae,mae_reduction,baseline_r2,candidate_r2,r2_gain,baseline_bias_mean,candidate_bias_mean,bias_change_abs,underpowered,severe_fold_loss,secondary_rmse_reduction,secondary_mae_reduction,classification,classification_rank,comparison,primary_ranking_scope,selection_basis,ranking_score,rank
any_sensor_3d,3d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_0.1,leave_one_year_out,152,18,18,2.2381141894816756,2.3537097522090638,-0.11559556272738813,1.6179563167122233,1.6765058842379463,-0.058549567525723045,0.6831943567416476,0.6496240878855417,-0.03357026885610592,0.0004359482923822296,0.03067138128396215,0.030235432991579922,False,False,-0.20990375703114195,-0.1742756044643441,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.001155955627274,12
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,O5_sensor_aware_any_sensor,True,ridge_alpha_1,leave_one_year_out,152,18,18,2.2381141894816756,2.3542765697321424,-0.11616238025046677,1.6179563167122233,1.717771882844877,-0.09981556613265363,0.6831943567416476,0.6494553133629613,-0.033739043378686384,0.0004359482923822296,-0.0157965329646369,0.01536058467225467,False,False,-0.23230985737749732,-0.21381167633496223,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.0011616238025045,13
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,O4_bands_indices,True,ridge_alpha_10,leave_one_year_out,152,18,18,2.2381141894816756,2.3581338467329704,-0.12001965725129482,1.6179563167122233,1.705659354775922,-0.08770303806369872,0.6831943567416476,0.6483056985188731,-0.03488865822277454,0.0004359482923822296,-0.0060874185502346615,0.005651470257852432,False,False,-0.19454523214429642,-0.1833772015002919,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.001200196572513,14
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,O5_sensor_aware_any_sensor,True,ridge_alpha_10,leave_one_year_out,152,18,18,2.2381141894816756,2.38064109822966,-0.14252690874798457,1.6179563167122233,1.7488212502821845,-0.1308649335699612,0.6831943567416476,0.6415601545857164,-0.04163420215593128,0.0004359482923822296,-0.017116146707094253,0.016680198414712025,False,False,-0.2221049792718559,-0.20362163389592935,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.00142526908748,15
any_sensor_3d,3d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,linear_regression,leave_one_year_out,152,18,18,2.2381141894816756,2.385299136311162,-0.14718494682948657,1.6179563167122233,1.694780014973328,-0.0768236982611048,0.6831943567416476,0.6401561127305919,-0.043038244011055715,0.0004359482923822296,0.04220712124191509,0.041771172949532864,False,False,-0.29790299347516713,-0.2344134551611743,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.001471849468295,16
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,O5_sensor_aware_any_sensor,True,ridge_alpha_0.1,leave_one_year_out,152,18,18,2.2381141894816756,2.412591668224154,-0.17447747874247854,1.6179563167122233,1.7679572567891095,-0.15000094007688625,0.6831943567416476,0.6318743532372402,-0.05132000350440746,0.0004359482923822296,-0.002270018303791552,0.0018340700114093226,False,False,-0.3570240061095924,-0.32100309346301903,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.001744774787425,17
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,O4_bands_indices,True,ridge_alpha_0.1,leave_one_year_out,152,18,18,2.2381141894816756,2.4370018213427547,-0.19888763186107905,1.6179563167122233,1.736264118203173,-0.11830780149094977,0.6831943567416476,0.624387414707484,-0.05880694203416359,0.0004359482923822296,0.03587766450929189,0.03544171621690966,False,False,-0.3046933785371726,-0.23336938808141916,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.0019888763186104,18
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,O5_sensor_aware_any_sensor,True,linear_regression,leave_one_year_out,152,18,18,2.2381141894816756,2.4562560953524004,-0.2181419058707248,1.6179563167122233,1.7992507649260934,-0.18129444821387009,0.6831943567416476,0.6184286850372762,-0.06476567170437142,0.0004359482923822296,0.01471425186052017,0.01427830356813794,False,False,-0.5163510176331272,-0.4185833480046586,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.002181419058707,19
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,O4_bands_indices,True,linear_regression,leave_one_year_out,152,18,18,2.2381141894816756,2.4931010096121975,-0.2549868201305219,1.6179563167122233,1.7676495786614006,-0.14969326194917731,0.6831943567416476,0.6068953537215589,-0.07629900302008874,0.0004359482923822296,0.05785973392045328,0.05742378562807105,False,False,-0.4709564875011485,-0.3437736239274971,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.002549868201306,20
any_sensor_3d,3d,any_sensor,O1_quality_only,B0_F3_same_subset,O1_quality_only,False,ridge_alpha_100,leave_one_year_out,374,20,20,2.3447584724448287,2.640443915605202,-0.2956854431603735,1.7432288388616366,1.974790176298223,-0.23156133743658636,0.5995434315027897,0.49217615601433395,-0.1073672754884557,0.00287099674370163,0.003974595358157266,0.001103598614455636,False,False,-0.31813217923710324,-0.2406459858329386,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset,True,any_sensor_3d_leave_one_year_out_against_B0_F3_same_subset,4.002956854431604,21
