dataset_id,window,sensor_scope,comparison_feature_set,baseline_feature_set,candidate_feature_set,is_optical_proxy_feature_set,candidate_model_id,validation_scheme,same_sample_n,baseline_n_folds,candidate_n_folds,baseline_rmse,candidate_rmse,rmse_reduction,baseline_mae,candidate_mae,mae_reduction,baseline_r2,candidate_r2,r2_gain,baseline_bias_mean,candidate_bias_mean,bias_change_abs,underpowered,severe_fold_loss,secondary_rmse_reduction,secondary_mae_reduction,classification,classification_rank,comparison
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,linear_regression,river_year_groupkfold,76,5,5,2.09245870543708,2.3146011041190797,-0.2221423986819997,1.5014540104421967,1.7152884184997663,-0.2138344080575696,0.7324420710157993,0.6726168329830107,-0.05982523803278861,-0.05636160561678244,0.038281295616755265,-0.018080310000027175,False,False,-0.2221423986819997,-0.2138344080575696,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_0.1,leave_one_river_out,76,6,6,3.1507210935759002,3.18560515965998,-0.0348840660840799,2.6605875672147046,2.6962808335356434,-0.03569326632093883,0.3933699010958308,0.37986259738811845,-0.01350730370771236,-0.2509014075871811,-0.2983619403145223,0.04746053272734119,False,False,-0.11055983445906747,-0.16279171017124616,optical_no_improvement,3,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_0.1,leave_one_year_out,76,14,14,2.17759778043745,2.393475555264557,-0.21587777482710724,1.5657523056902265,1.8082772072395503,-0.24252490154932382,0.7183303311559159,0.6597150470125732,-0.058615284143342716,0.05147850333818258,0.11700790702894708,0.06552940369076449,False,False,-0.11055983445906747,-0.16279171017124616,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_0.1,river_year_groupkfold,76,5,5,2.09245870543708,2.2030185398961475,-0.11055983445906747,1.5014540104421967,1.664245720613443,-0.16279171017124616,0.7324420710157993,0.703421040072888,-0.029021030942911308,-0.05636160561678244,0.03384880610782046,-0.022512799508961977,False,False,-0.11055983445906747,-0.16279171017124616,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_1,leave_one_river_out,76,6,6,3.1507210935759002,3.186028132579975,-0.035307039004074614,2.6605875672147046,2.681889100933262,-0.021301533718557586,0.3933699010958308,0.3796979073348724,-0.0136719937609584,-0.2509014075871811,-0.2890227826791362,0.03812137509195512,False,False,-0.04886796745875044,-0.07547483906438024,optical_no_improvement,3,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_1,leave_one_year_out,76,14,14,2.17759778043745,2.2922158607250225,-0.1146180802875727,1.5657523056902265,1.6911009306678477,-0.12534862497762123,0.7183303311559159,0.6878985550784192,-0.030431776077496697,0.05147850333818258,0.11695254469334547,0.06547404135516288,False,False,-0.04886796745875044,-0.07547483906438024,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_1,river_year_groupkfold,76,5,5,2.09245870543708,2.1413266728958305,-0.04886796745875044,1.5014540104421967,1.576928849506577,-0.07547483906438024,0.7324420710157993,0.7197988669271579,-0.012643204088641391,-0.05636160561678244,0.002806371360552933,-0.0535552342562295,False,False,-0.04886796745875044,-0.07547483906438024,optical_no_improvement,3,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_10,leave_one_river_out,76,6,6,3.1507210935759002,3.272471286865858,-0.12175019328995784,2.6605875672147046,2.63504341202728,0.0255441551874247,0.3933699010958308,0.3455812664269594,-0.0477886346688714,-0.2509014075871811,-0.27511388524312036,0.024212477655939257,False,False,-0.3567137379372771,-0.30489971554926676,optical_marginal,2,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_10,leave_one_year_out,76,14,14,2.17759778043745,2.514553050076787,-0.3369552696393372,1.5657523056902265,1.8233860483461621,-0.25763374265593564,0.7183303311559159,0.6244166271545696,-0.09391370400134635,0.05147850333818258,0.10808038484071616,0.056601881502533584,False,False,-0.3567137379372771,-0.30489971554926676,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,O3_bands,True,ridge_alpha_10,river_year_groupkfold,76,5,5,2.09245870543708,2.449172443374357,-0.3567137379372771,1.5014540104421967,1.8063537259914635,-0.30489971554926676,0.7324420710157993,0.6334419491984367,-0.09900012181736262,-0.05636160561678244,-0.00963149939692356,-0.04673010621985888,False,False,-0.3567137379372771,-0.30489971554926676,optical_worse_than_baseline,4,candidate_minus_B0_F3_same_subset
