dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,sensor,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_100,river_year_groupkfold,Sentinel-2,36,5,,2.329536862648636,1.9780797785443223,1.8591609360459898,0.29557913280728687,-0.14984763797689699,-0.9287896103733684,0.4529540518923123,0.548481219288992
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,HLS,19,6,,3.0226475002899327,2.4694448037805645,2.4356060849007743,0.40299355368864886,0.2676829611320289,0.018995107785549692,0.7433085401833224,0.6666320779482622
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Landsat,97,6,,3.2441279280565363,2.652975761512076,2.3994293306711167,0.4182742141624577,-0.09487242943943293,-0.6386773950877136,0.6562790852497062,0.6556654320308157
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,Sentinel-2,36,6,,2.5644651266701386,2.262647746108341,2.1896274817286647,0.146336655458303,-0.24785152558130172,-0.9891206761648719,0.42566611242053903,0.49236321950441975
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,HLS,19,7,,2.152312306733104,1.4045710765751538,0.7564797134795036,0.6972984863648369,0.12453649725305894,0.311208102742079,0.8889864831236194,0.8370792682449444
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Landsat,96,15,,2.290908451128581,1.63608725028559,1.1851064965643388,0.7091783316639587,0.040379867510197044,-0.1182325037676546,0.8571535273267707,0.8423556249492048
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,Sentinel-2,35,6,,2.1349047801173437,1.6840634578425413,1.2914814161977262,0.42341343150388533,-0.1764933852837057,-0.2542802230348489,0.5885978486096247,0.6775717730679013
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,HLS,19,4,,2.180503642672844,1.398017086394089,0.7825787793966485,0.6893168872159856,-0.031006465257761108,0.07895666910075372,0.8556385202818647,0.8315295639139942
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,Landsat,97,5,,2.2647098423316665,1.6269659231348963,1.076685013087479,0.7165036272859598,0.05628260981989463,-0.31369558098717576,0.8612865676823716,0.846918136356854
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,Sentinel-2,36,5,,2.1529796804830448,1.6795383636192458,1.3788217375040794,0.3983098519674707,-0.30506203957526096,-0.20887737281200103,0.5606899261275682,0.6751009192232575
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_river_out,HLS,19,6,,3.1067781496538895,2.660193376204688,2.374142658696477,0.3692975779224045,0.15607219369374611,-0.8662440618481062,0.7292672926710047,0.6608382422138828
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_river_out,Landsat,97,6,,3.256350554342152,2.5895451878615368,2.376292102191317,0.4138825185695444,0.01231782073796204,-0.2651635201559843,0.6443571399825001,0.6567246295698311
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_river_out,Sentinel-2,36,6,,2.71871301716629,2.228749955427695,1.8667467057402654,0.04055568995597025,0.2603674321689742,-0.16562650969891646,0.49440082788245854,0.4779207696604557
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_year_out,HLS,19,7,,2.324777902085894,1.5817753304647761,1.2204133544008933,0.6468437046365048,0.05946638298429548,0.11080714732873265,0.829311181196269,0.8133154845487229
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_year_out,Landsat,96,15,,2.41472199311514,1.7526500865170827,1.3539903957554404,0.6768935943135078,-0.016379125405550532,-0.12105136660225657,0.8317222673931841,0.8232446199115844
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_year_out,Sentinel-2,35,6,,2.6323652922777727,2.0451278615555233,1.721600300043833,0.1234033349345448,0.07570492975169307,-0.24706550909644864,0.6163328257692405,0.5633384847319115
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,river_year_groupkfold,HLS,19,4,,2.552046408897701,1.9108954896119106,1.2261090796929217,0.5744200588023244,-0.2017304755035992,-0.443682497874093,0.8258008693181893,0.7774604595542504
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,river_year_groupkfold,Landsat,97,5,,2.6058314475268367,1.9225990246156073,1.4605160752393482,0.6246685009954523,0.08836708396142857,-0.13557186546503708,0.801834660809337,0.7963033338367007
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,river_year_groupkfold,Sentinel-2,36,5,,3.1736891518086203,2.3796374856175952,1.9221181166404042,-0.3074401368321351,0.29378777607192963,0.17538668698537618,0.46492470458511853,0.4722306155820627
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_river_out,HLS,19,6,,3.130807532441511,2.6892047667697354,2.4448472591062718,0.35950350902430783,0.13778150252234517,-0.8146815301934174,0.7231242468843658,0.6539995003575637
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_river_out,Landsat,97,6,,3.252136585888282,2.5983074184688535,2.3345379678915137,0.4153984993756389,-0.03913129663669199,-0.4079660280120381,0.6433773441497292,0.6556766181097408
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_river_out,Sentinel-2,36,6,,2.67804479396336,2.173016428692613,1.830187395321694,0.06904494975641462,0.2627731725828113,-0.23057131283118393,0.48024199136408563,0.4891860869099719
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_year_out,HLS,19,7,,2.31344830425096,1.5703039358501278,1.22143285801973,0.6502774685654311,0.05187083596116968,0.12316440300191189,0.829311181196269,0.8144354988551057
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_year_out,Landsat,96,15,,2.3921115207673465,1.7378298782583004,1.3118325088462508,0.6829161386858096,-0.01813115495705873,-0.15201335257654325,0.8347680491243606,0.8266382600114246
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_year_out,Sentinel-2,35,6,,2.5189000031060313,1.9578898692690623,1.7183317518834809,0.19734418573016455,0.01184406420133379,-0.21144995183239335,0.5883176973251841,0.5843898981887309
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,river_year_groupkfold,HLS,19,4,,2.5005191523972305,1.8134351459071938,1.1218054472843666,0.5914319654913938,-0.1090865240215497,-0.2525321500041873,0.8363318049524278,0.787288033697607
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,river_year_groupkfold,Landsat,97,5,,2.486995771587651,1.8391813567516944,1.4028934569326719,0.6581209682847604,0.038880890498767494,-0.24634832427052267,0.813309450931386,0.8131092543297019
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,river_year_groupkfold,Sentinel-2,36,5,,2.873132853032574,2.243833641808149,1.7979755746673995,-0.07153029621327711,0.18799735887752134,0.15037058013393834,0.49465826127370166,0.515151789362127
any_sensor_3d,3d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_1,leave_one_river_out,HLS,19,6,,3.124766725645462,2.707786946243335,2.878635761366552,0.3619727651760164,0.05908868077461124,-1.0329559178241468,0.7134708892196472,0.6496398364917042
