dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,river,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
hls_3d,3d,hls,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,Yenisey,2,1,,2.929001402916282,2.7603520268668653,2.7603520268668653,-1.5066615685275537,-2.7603520268668653,-2.7603520268668653,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,Yukon,8,3,,1.819396241700761,1.4230663272837132,1.141504069448211,0.4068549095202948,-0.34731669771971413,0.5054050299953956,0.6946232319096901,0.6681565739581927
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,Kolyma,2,1,,4.725012540008341,3.6555001459980847,3.6555001459980847,-88.30297401294428,-2.993837367968416,-2.993837367968416,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,Lena,2,1,,4.585582234296337,3.845270672580109,3.845270672580109,0.36400561277900423,-3.845270672580109,-3.845270672580109,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,Mackenzie,2,1,,3.8219110642692833,3.3593948841342396,3.3593948841342396,-1163.461430419638,-1.822490108515452,-1.822490108515452,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,Ob,3,1,,14.371511477448129,10.327652502097559,4.238656049337683,-73.17212501664146,-10.327652502097559,-4.238656049337683,-1.0,-0.9946230048209602
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,Yenisey,2,1,,3.2874673262893066,2.8567794455607096,2.8567794455607096,-2.1577622852943072,2.8567794455607096,2.8567794455607096,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,Yukon,8,1,,12.024247440035186,10.02885829882284,7.838307525726984,-24.907300531326324,-10.02885829882284,-7.838307525726984,-0.4071929290505081,-0.2677326093104966
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,Kolyma,2,2,,5.15902524039533,3.9386319482944767,3.9386319482944767,-105.46216572414436,-3.3320743999662046,-3.3320743999662046,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,Lena,2,2,,6.309564950296777,6.238774569071023,6.238774569071023,-0.2041016215353817,-0.9424976065360848,-0.9424976065360848,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,Mackenzie,1,1,,0.17244094156802436,0.17244094156802436,0.17244094156802436,,0.17244094156802436,0.17244094156802436,,
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,Ob,3,2,,13.615966534542089,9.67524358451479,4.339575142987355,-65.57831202245659,-6.782193489189886,-1.5577038624483635,-1.0,-0.9988770882752991
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,Yenisey,2,1,,4.3309197255455745,3.795786379657247,3.795786379657247,-4.4804574635850285,3.795786379657247,3.795786379657247,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,Yukon,7,4,,11.41449088728874,6.966644745152071,0.7294553603629579,-29.467879682084018,2.110567418922936,0.5713088032496261,-0.03603749850782236,0.20227512255737276
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,Kolyma,2,2,,8.672102195399443,8.629189371964664,8.629189371964664,-299.82142594980735,0.8616537995180602,0.8616537995180602,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,Lena,2,2,,11.254907184651039,10.832047965430935,10.832047965430935,-2.831317526959834,3.0560877948306873,3.0560877948306873,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,Mackenzie,2,2,,5.227392325441143,5.175128471566915,5.175128471566915,-2177.3825354018586,0.7373437643721203,0.7373437643721203,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,Ob,3,2,,6.233789143788121,5.418375737234444,6.292878884571927,-12.955327926106179,-1.223123147519826,-1.2826879571384229,-1.0,-0.8794168414600989
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,Yenisey,2,1,,10.757467573847634,10.756292286327028,10.756292286327028,-32.81244955511567,10.756292286327028,10.756292286327028,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,Yukon,8,3,,9.703311722577453,5.820475187594797,2.5783106901272257,-15.871213467909307,-1.3397015683624192,-0.029908353367944507,0.3592878785739777,0.2013650809492096
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,Kolyma,2,1,,10.425828062582362,10.199281058113579,10.199281058113579,-433.7915631621195,10.199281058113579,10.199281058113579,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,Lena,2,1,,4.441754779761218,4.143530550044673,4.143530550044673,0.4032760522183254,-1.600106279088397,-1.600106279088397,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,Mackenzie,2,1,,3.489839428580556,3.4890920895224333,3.4890920895224333,-969.9007682776976,-3.4890920895224333,-3.4890920895224333,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,Ob,3,1,,2.1754638346945816,2.1185902274716546,2.118573719834142,-0.6995719911082852,1.109691214326709,2.118573719834142,-0.5,-0.9580593467758423
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,Yenisey,2,1,,1.6229931359241088,1.6229762872150157,1.6229762872150157,0.23035596223322896,1.6229762872150157,1.6229762872150157,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,Yukon,8,1,,9.412696090395853,7.841536344902002,5.822675286329655,-14.875756423794591,-7.841536344902002,-5.822675286329655,-0.4071929290505081,-0.2208064183338464
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,Kolyma,2,2,,3.6289491981501922,3.2802799902832085,3.2802799902832085,-51.67708913101969,-1.55210678373059,-1.55210678373059,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,Lena,2,2,,7.872984964483955,7.842052354413144,7.842052354413144,-0.8747491039997095,0.6972138277699953,0.6972138277699953,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,Mackenzie,1,1,,0.3169911623228012,0.3169911623228012,0.3169911623228012,,0.3169911623228012,0.3169911623228012,,
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,Ob,3,2,,4.002571868954026,3.446644116170667,3.8996912948497435,-4.753261403628275,0.3409563441979726,-0.7588403631092984,-0.5,-0.6333148449189783
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,Yenisey,2,1,,3.4942377637163133,2.7220681312954116,2.7220681312954116,-2.567479196312984,2.7220681312954116,2.7220681312954116,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,Yukon,7,4,,9.33484568639662,4.592757636524018,0.7553411740207627,-19.377149257674144,4.09602462082493,0.7423498391137509,0.6847124716486249,0.5562821784888585
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,Kolyma,2,2,,6.94723664896484,6.439190468990337,6.439190468990337,-192.0563882268809,2.6078579640740083,2.6078579640740083,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,Lena,2,2,,11.316484592003192,10.919964310504234,10.919964310504234,-2.873355720863383,2.969377540556178,2.969377540556178,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,Mackenzie,2,2,,3.5088751364283604,3.0492480293825377,3.0492480293825377,-980.5214224366329,-3.0492480293825377,-3.0492480293825377,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,Ob,3,2,,5.524143298745031,4.344605307959404,3.59534000056645,-9.958868134817378,-1.553505931172478,0.5913090646139398,-1.0,-0.9949706642154893
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,Yenisey,2,1,,5.560141643984752,5.545232238308191,5.545232238308191,-8.032921870320958,5.545232238308191,5.545232238308191,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,Yukon,8,3,,6.749618250109188,3.515107481276247,1.3396244536556141,-7.1632815274339645,-2.456534423889163,-0.22393179825943843,0.5748606057183643,0.07369224891787096
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,Kolyma,2,1,,6.08637843343368,5.73538305740288,5.73538305740288,-147.17600973986646,5.73538305740288,5.73538305740288,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,Lena,2,1,,4.682750877534182,4.679684182388814,4.679684182388814,0.3367665548265515,-0.16944537216191602,-0.16944537216191602,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,Mackenzie,2,1,,2.693896619314582,2.6879213141181726,2.6879213141181726,-577.5298944160173,-2.6879213141181726,-2.6879213141181726,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,Ob,3,1,,2.7531486019283213,2.301157048848611,2.2517353406285583,-1.722043967985401,1.9843483357972727,2.2517353406285583,-0.5,-0.3375387663783042
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,Yenisey,2,1,,0.7391000582392161,0.7326462859826472,0.7326462859826472,0.8403889273661905,0.09745930291688776,0.09745930291688776,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,Yukon,8,1,,3.5989137700434997,2.938086882836581,2.852040533696903,-1.3208615613525088,-2.938086882836581,-2.852040533696903,0.5389318178609666,0.4756772366075751
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,Kolyma,2,2,,2.908258937163947,2.8892626069062577,2.8892626069062577,-32.831880182375876,0.3318608653144026,0.3318608653144026,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,Lena,2,2,,7.632480800802455,7.544320635031686,7.544320635031686,-0.7619588105744592,1.1567148872791355,1.1567148872791355,-0.9999999999999999,-1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,Mackenzie,1,1,,0.005866018011391638,0.005866018011391638,0.005866018011391638,,-0.005866018011391638,-0.005866018011391638,,
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,Ob,3,2,,3.2755177723708995,2.7807754848642836,2.7410962460300414,-2.8529710855065527,0.49945780290048464,-0.6808802769156568,-0.5,-0.45719427698707243
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,Yenisey,2,1,,1.8568381664995355,1.7633592571957268,1.7633592571957268,-0.00740627511157288,0.5817319886610082,0.5817319886610082,0.9999999999999999,1.0
hls_3d,3d,hls,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,Yukon,7,4,,4.543850522792718,3.0155633069621257,1.7697114425414906,-3.8281106285229516,2.53967068982596,1.7697114425414906,0.7748062179181807,0.6947567130991169
