dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,month,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,5,14,4,,3.7964867599739174,3.0255577035445946,2.757883172243277,0.6150233809138816,2.2668068037713085,2.2881159919956424,0.8813186813186813,0.8929335827370677
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,6,56,5,,2.3493285850956114,1.7643136222471207,1.2982833621500247,0.6163964628336578,-0.41669043393627536,-0.5590702628616038,0.8081491879138195,0.7927575687328703
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,7,25,5,,1.9602809540245838,1.2555208720652402,0.664175779348013,0.7002840337355858,-0.10466188342133358,-0.13314798718609921,0.8338461538461539,0.8378034402194604
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,8,24,5,,2.0653079614907446,1.6675630745515335,1.8396164303963218,0.5797870540422169,0.15811972252954642,0.025673936437831113,0.7529361303840679,0.7645773858523539
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,9,27,5,,1.919837904575277,1.6119188949339553,1.6139450921237373,0.08368374070279305,0.26515299444772195,0.41624454246148623,0.5972519362392378,0.5900275072534141
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,10,11,5,,1.3817217482815898,1.0330313706485124,0.6310035689725444,0.04044056775352878,0.06360085556563368,0.5676703313734968,0.790909090909091,0.6880329336854413
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,11,3,2,,0.6096258949201837,0.5157516884257815,0.631971819852847,0.8654556152792676,0.09443714185721674,0.07249807511850737,1.0,0.9755571776252184
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,1,1,1,,0.9105998864008651,0.9105998864008651,0.9105998864008651,,-0.9105998864008651,-0.9105998864008651,,
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2,2,2,,1.5272134229374656,1.1208150567216086,1.1208150567216086,-11.157694998021146,-1.1208150567216086,-1.1208150567216086,0.9999999999999999,1.0
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,3,2,2,,3.2740229091056365,3.265414787406652,3.265414787406652,-3.410331127603359,-0.237259932425395,-0.237259932425395,-0.9999999999999999,-1.0
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,4,5,3,,2.044109440678941,1.6619654122683012,1.6750235882160744,-0.5082238685651075,0.2694110246648531,0.10679797842879912,0.5642880936468347,0.4422721911029304
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,5,14,3,,4.243194373894701,3.4033993879266946,2.729387115586956,0.5190981719236939,2.6234185158173027,2.493245611552809,0.832967032967033,0.8609892973741207
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,6,56,6,,3.23135743215885,2.760936209538096,2.8975874546817377,0.2742867100602233,-0.9218009079341082,-1.3149867669056157,0.515989002265422,0.5834567642249324
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,7,25,6,,3.106165193130612,2.668693407546673,2.2700835308584013,0.2474725681086416,0.0057430656918596055,-0.8623774066352698,0.6776923076923077,0.5068551182261961
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,8,24,6,,3.3310821738099277,3.007092295163,2.99657330760005,-0.09312665003429776,0.318206839181807,-0.8094153763469194,0.26098306079170464,0.33349154466176295
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,9,27,6,,2.790449253043232,2.1638048272775015,1.7385533762785208,-0.9358180126918223,-0.0033182877826589273,-0.8167599604166016,0.23633588887994378,0.19459008485001636
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,10,11,5,,2.2020591741758584,1.919121617713917,1.894485219006862,-1.4371859309350574,-0.5605102823292604,-0.8689424540902344,0.4727272727272727,0.48771669764773784
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,11,3,2,,1.1745132425286446,0.83677245679328,0.2569085599862744,0.5005930289287731,0.6694010611433537,0.2569085599862744,1.0,0.9893763139972116
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,1,1,1,,1.175809888057758,1.175809888057758,1.175809888057758,,-1.175809888057758,-1.175809888057758,,
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2,2,2,,1.6054152436181675,1.4149974846051587,1.4149974846051587,-12.4346557851253,-0.7583799990787292,-0.7583799990787292,-0.9999999999999999,-1.0
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,3,2,2,,4.32485065635664,3.8511729576574933,3.8511729576574933,-6.695733149030365,-1.9679431013106288,-1.9679431013106288,-0.9999999999999999,-1.0
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,4,5,4,,2.6339789248979875,1.9193092204429831,1.7868571429640747,-1.504275547504605,-0.42696647007590316,0.09797104138522039,0.5642880936468347,0.5173301556359753
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,5,14,8,,3.750437588417291,2.9243646918013178,2.0226821235675247,0.6243058260908465,2.084030105191475,1.4835653094088213,0.9076923076923077,0.8854469456440521
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,6,55,16,,2.3687900738825305,1.7865750573943793,1.3233256859647868,0.610711380536779,-0.5044140788439989,-0.7867764043158925,0.8042360655579706,0.7929786640646727
any_sensor_7d,7d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,7,25,11,,2.0358531591896485,1.312925777714002,0.6590164694574723,0.6767294524613142,-0.08374879413937591,-0.29126384026145313,0.8038461538461538,0.8231276152228443
