dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,season_window,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_river_out,spring_freshet_provisional,85,6,,3.9251380104634253,3.214087990346449,2.8000441653798624,0.1702846633873336,0.28941997674620284,-0.7056909475970432,0.38020688513650536,0.4498896016549387
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_river_out,summer,47,6,,3.4466164082158866,3.0688772231725787,2.9565987547622328,0.04771863840315582,-0.5706659300619884,-1.8978668475128355,0.36227484693465273,0.2776817091006192
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_year_out,early_season,60,17,,3.5832888187500087,2.7434627631565776,2.2222995735294266,0.34920697252393373,0.7086611556384416,-0.010835569165347003,0.731213882997152,0.7246827823662179
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_year_out,late_season,31,14,,1.696462578677899,1.3665650240682001,1.3737672978718027,0.012139951741380828,-0.4037518459039208,-0.5665713946502695,0.35982253835180855,0.3366455605732975
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_year_out,spring_freshet_provisional,84,17,,3.396193490888189,2.663932400105997,2.159459923632554,0.38067558128015433,0.3888764330467477,-0.616457240753955,0.776303936608974,0.7460435495917319
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_year_out,summer,46,16,,2.8440906847862344,2.4711441018519533,2.0418583544934554,0.36329875180578974,-0.5141573878924344,-1.5572784919742917,0.7613878270938728,0.707262357239581
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,river_year_groupkfold,early_season,61,5,,3.7379373742566937,2.9039173287945417,2.3270694470010778,0.28609219911196926,0.7942927494463514,-0.2772196712252377,0.6942229729550724,0.6746644429237411
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,river_year_groupkfold,late_season,31,5,,1.7469150748831366,1.4428341790594648,1.4273398508666117,-0.04749133330002331,-0.4849429548486517,-0.5825120126400094,0.30778542237940576,0.29704779965609374
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,river_year_groupkfold,spring_freshet_provisional,85,5,,3.5557428205370725,2.825123049848935,2.270259815508235,0.31910532379462053,0.4425220999448291,-0.7255758835810013,0.725848619583456,0.6918212054811886
any_sensor_3d,3d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,river_year_groupkfold,summer,47,5,,2.9410200858699627,2.558851102154052,2.1240546602295716,0.30661353019731874,-0.5635434384637192,-1.7592276620818197,0.7185358735849953,0.6572725012523234
