dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,group_type,group_value,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,p05_residual,p95_residual,flags
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_year_out,sensor,Sentinel-2,28,2.0490993737852876,1.4937382063219167,0.9812687642789886,0.46178788713728547,0.008106997186612406,0.0060831857643468545,0.6537093045375527,0.7269059610836054,-3.141963741701516,2.781995468914781,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_10,leave_one_year_out,sensor,HLS,15,1.6795507728873051,1.483347132727869,1.2311951992448993,0.8472158111071872,-0.3906594514942514,-0.7853575328716658,0.89544271680834,0.9343097895338399,-2.5145376879238084,2.250610040355626,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_10,leave_one_year_out,sensor,Landsat,30,2.962010730551095,2.018647909586151,1.4147198194881407,0.6111463061803344,0.22038805776669054,-0.32588034005718614,0.8664590219659212,0.8135652382124694,-2.796618280734426,6.859107081945797,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_10,leave_one_year_out,sensor,Sentinel-2,28,1.9876330775531494,1.556427594911286,1.4038053671659791,0.49359281662733323,0.11441465357736183,-0.07441429156170631,0.5797974484968746,0.7046866788303768,-2.6973263306174515,3.188836605652102,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_100,leave_one_year_out,sensor,HLS,15,2.8635531614973675,2.2072533245969064,1.9611143051486133,0.5558776399324049,-0.1325991018252052,-1.1611439118934133,0.8990173384323251,0.8674372343329524,-3.5350976636781857,4.740439287566391,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_100,leave_one_year_out,sensor,Landsat,30,3.954360824109712,2.8111093292934344,2.042844250323942,0.30694841102489057,0.4608174870973,-0.697580267312663,0.79991105187401,0.6966139396619898,-3.4396443588331285,8.34025002106251,
any_sensor_0d,0d,any_sensor,O2_indices,O2_indices,ridge_alpha_100,leave_one_year_out,sensor,Sentinel-2,28,2.383257967765139,1.8860347593929458,1.674591139095952,0.27193603960844825,-0.2922500337833375,-0.8731291157225396,0.4656446930562719,0.5412510991873151,-2.7084218501670527,4.938874022609521,
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,HLS,15,1.8428386970838027,1.5027539185753895,1.17924777064583,0.8160639799048733,0.4448015971135926,0.36470881282084466,0.7989279329607344,0.9097572157896244,-1.8902063502833444,2.951474944856323,
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Landsat,30,2.4367140771077103,1.7035032430640622,1.1704996211298655,0.736838642339896,0.24940882756115995,-0.14641563157325077,0.894725216620345,0.8642380625297561,-2.443663102130357,5.2812992214375765,
any_sensor_0d,0d,any_sensor,O3_bands,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Sentinel-2,28,2.044967350913286,1.4519111516012073,0.9662433336415934,0.46395631540308435,-0.3712985014232629,-0.2689658628910885,0.67807284226948,0.7430187268154728,-3.757649487822332,2.0051497030433763,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,linear_regression,leave_one_year_out,sensor,HLS,15,1.7549754694123283,1.3895809341201757,1.4056760093844751,0.8331853304556586,0.028375244379844993,-0.006890158743793506,0.8007152437727272,0.9130000537144837,-2.512812521950499,2.217366636620425,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,linear_regression,leave_one_year_out,sensor,Landsat,30,2.4360119573900767,1.8114464228236968,1.3111295022825544,0.7369902761813512,0.30798200168599105,-0.09514836902944435,0.8902738473834279,0.86117896184906,-2.8899824023118974,4.717778502866546,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,linear_regression,leave_one_year_out,sensor,Sentinel-2,28,2.835052766811533,2.178155021245487,1.4988027173268739,-0.03026683425138743,-0.09669085180616989,-0.21766339948856395,0.5017793782317145,0.5822727614656301,-4.482638043086731,5.044381256146371,
any_sensor_0d,0d,any_sensor,O3_bands,O3_bands,ridge_alpha_0.1,leave_one_year_out,sensor,HLS,15,1.6854066878043326,1.3667458468425433,1.2742509005449048,0.8461485603414873,0.16917603071231851,0.09526590430314386,0.7989279329607344,0.9209232689165586,-2.2856711475435683,2.4375765641171823,
