dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_1,leave_one_river_out,170,6,850,3.0757909231354805,2.526304587647194,2.4356129677118643,0.4044611235499185,0.0018293971875950276,-0.4927698937169229,0.6598038507205173,0.6566852629484033
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_1,leave_one_year_out,168,18,2892,2.309303937173108,1.7008893026927372,1.2366252443597152,0.6643595829840225,0.009680193181341987,-0.07147076575739142,0.8190286136934384,0.8155439433826898
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_1,river_year_groupkfold,170,5,680,2.3427793687652083,1.7350738327405217,1.2090697708216946,0.6544910696853672,0.07617580995616732,-0.16221753941476358,0.8181408483703825,0.810257791513351
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_10,leave_one_river_out,170,6,850,3.088946525335886,2.5579953568715257,2.434323892558057,0.3993558171341478,-0.07481446116825606,-0.7559459486356706,0.6321596081656958,0.6354026660570824
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_10,leave_one_year_out,168,18,2892,2.3453157229063866,1.7743961503300236,1.393622853072844,0.6538098633764342,0.007621701499229176,-0.3647201064699348,0.8159838129768913,0.8113173554302117
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_10,river_year_groupkfold,170,5,680,2.4144182910483094,1.835063195569273,1.434765327498579,0.6330376397789433,0.05866882245965582,-0.35184619761037816,0.816104842700201,0.7980231315366171
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_river_out,170,6,850,3.395976968067339,2.7613111752222372,2.4379116240608063,0.2740178083240249,-0.0991769458309188,-0.9502393742402382,0.5404807277692762,0.5313376747720426
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,leave_one_year_out,168,18,2892,2.8859342421506495,2.2843435246137522,1.9409643382549633,0.47581459768830536,0.01836408606134728,-0.8096056893736034,0.745192829068775,0.7362066204279318
any_sensor_7d,7d,any_sensor,O3_bands,O3_bands,ridge_alpha_100,river_year_groupkfold,170,5,680,2.997690635283729,2.393971336929338,2.075032828523699,0.434320920282647,0.0461766482382624,-0.7953432943220453,0.744781133569075,0.6955075407567736
any_sensor_7d,7d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,170,6,850,3.1012880146363635,2.5719954335782216,2.438511413502163,0.39454663560373604,-0.07129259539858658,-0.6144668039538574,0.6415738443419159,0.6455701243609692
any_sensor_7d,7d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,168,18,2892,2.263345074633701,1.6792767022068023,1.3210774964678222,0.6775862127941421,0.0005022982990480841,-0.05021696999892655,0.8246461824302432,0.8232148536090766
any_sensor_7d,7d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,170,5,680,2.236127586292943,1.6626862187268276,1.2455501817019226,0.6852326671915249,0.03061466534823127,-0.10483795238220095,0.8273560030083664,0.8278291972082383
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,170,6,850,3.1948029179723245,2.6248271060414328,2.409841132249964,0.35748297448406785,0.06684119099449247,-0.49180569122173967,0.6431750461617167,0.6363734460870948
