dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,year,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2014,7,3,,2.596637172137418,1.8388848332609606,0.8823902306588387,0.7213127747089291,0.3009243558579346,0.3389024635952702,0.8214285714285715,0.8515037801120849
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2015,2,2,,0.2323597136292959,0.22102565461376988,0.22102565461376988,0.9968650871523943,0.07168470213680811,0.07168470213680811,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2016,7,3,,3.483479325713339,2.1559572013889903,1.124481418722712,-0.9823857518868466,-1.7542934860342332,-0.3836460535541866,0.9285714285714288,0.847320044665198
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2017,6,3,,1.158413175769778,0.8118607617406403,0.5204518987045286,0.8642085701352237,-0.034863077478655725,-0.048098454584772465,0.942857142857143,0.9675103172310952
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2018,11,4,,1.4988890422734247,1.2977162821388888,1.2189296311348263,0.7140199965423965,-0.020041029452581603,-0.17472852347366796,0.8337151470681154,0.8660343200643056
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2019,9,3,,2.8128899738494946,2.198592999359804,2.0305690301556716,0.579577576780924,0.8580945290778271,1.4802742339705608,0.435150252552976,0.7993393645876177
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2020,11,3,,1.9020180434387515,1.4824646307042277,1.0268356216438885,0.7208308378654298,0.1849209437526131,0.3260271686412608,0.6636363636363638,0.8743401883650583
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2021,14,4,,2.7370903956365464,2.0937688162462367,1.500684558347375,-0.41474571933856796,-1.5493445617264763,-1.332641681067225,0.6395604395604396,0.595346604315901
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2022,4,2,,2.455304247981337,1.5045078256282396,0.5271658005805435,0.6783131479576436,1.15871321019774,0.1813711851500439,1.0,0.9105255357053639
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,linear_regression,river_year_groupkfold,2023,3,1,,0.6954772799656933,0.48551978849654837,0.16978717698780876,0.08036329543770337,0.48551978849654837,0.16978717698780876,1.0,0.9949964409019305
