dataset_id,window,sensor_scope,comparison_id,comparison_feature_set,feature_set,model_id,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,sensors_in_test,fold_skipped,skip_reason,rmse,mae,bias_mean,r2
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,loro_Yukon,Yukon,,Yukon,150,38,Yukon,HLS;Landsat;Sentinel-2,False,,2.0726641170703806,1.671656747394969,-0.5443947063602774,0.490423499269696
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2004,2004,2004,,186,2,Yenisey,Landsat,False,,3.265887555972856,3.174995149025272,3.174995149025272,-0.4103830120011045
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2005,2005,2005,,181,7,Kolyma;Mackenzie;Ob;Yenisey,Landsat,False,,1.2861259319655276,0.8732852497416186,-0.15391657439682863,0.6946048389945907
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2009,2009,2009,,182,6,Kolyma;Mackenzie;Yenisey;Yukon,Landsat,False,,2.166218316376425,1.9732490826934113,-1.716510352090018,0.20078504711468204
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2010,2010,2010,,184,4,Kolyma;Yenisey;Yukon,Landsat,False,,4.681111857468161,4.054974135855617,4.054974135855617,-0.44400713160652505
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2011,2011,2011,,181,7,Lena;Mackenzie;Ob;Yenisey;Yukon,Landsat,False,,4.30191415203541,2.9820418401238595,2.8067628519152756,0.42931604581331373
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2012,2012,2012,,185,3,Mackenzie;Yenisey,Landsat,False,,2.0294500523927588,1.9978041082063889,-0.43627231997030397,0.3659252884636889
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2013,2013,2013,,184,4,Kolyma;Lena;Mackenzie,Landsat,False,,0.8719702271449022,0.6755099528437849,-0.4608423673448174,0.9297411883775102
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2014,2014,2014,,185,3,Mackenzie;Ob;Yukon,Landsat,False,,2.7615820286176946,1.8960421127017064,1.8960421127017064,0.7916681305558854
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2015,2015,2015,,181,7,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,Landsat,False,,1.9945399572592066,1.640880232162664,-0.20073685570055064,0.4654730382415424
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2016,2016,2016,,173,15,Kolyma;Lena;Mackenzie;Ob;Yenisey,HLS;Landsat,False,,1.8857358144709608,1.5335303021326367,-0.2666960737377297,0.24122308912130108
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2017,2017,2017,,170,18,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat,False,,2.461936033387122,1.770959903108189,-0.5604797552601515,0.2111962538051363
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2018,2018,2018,,163,25,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.1446154733617724,1.843326891335735,-0.451072425585263,0.41482104215403337
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2019,2019,2019,,164,24,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Sentinel-2,False,,2.21295581791006,1.7063538622245342,0.20295889541740827,0.657105705516819
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2020,2020,2020,,169,19,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,1.810600056641098,1.325183148758931,-0.2910845321239561,0.6500451848663666
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2021,2021,2021,,171,17,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.182675609661076,1.8599153809004367,-1.5700510262354817,-0.4228642081712597
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2022,2022,2022,,178,10,Mackenzie;Yukon,HLS;Sentinel-2,False,,2.035166967343878,1.5577953375541924,0.8980172693534358,0.5679535098246826
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2023,2023,2023,,177,11,Mackenzie;Yukon,HLS;Sentinel-2,False,,2.107189396019321,1.579349248657487,1.2665125071269514,0.37471112784410987
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2024,2024,2024,,182,6,Mackenzie;Yukon,HLS;Sentinel-2,False,,0.5493210367236201,0.40832556909990453,-0.09687046002976991,0.6064065776985355
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,river_year_gkf_1,Kolyma_2016;Kolyma_2017;Lena_2013;Lena_2019;Mackenzie_2009;Mackenzie_2012;Ob_2019;Ob_2021;Yenisey_2004;Yenisey_2010;Yenisey_2015;Yenisey_2019;Yukon_2009;Yukon_2023,,,150,38,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.6663518462036193,2.2698465885110717,0.4690079755040363,0.49606379785988364
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,river_year_gkf_2,Kolyma_2010;Kolyma_2020;Lena_2020;Mackenzie_2011;Mackenzie_2013;Mackenzie_2019;Ob_2011;Ob_2018;Yenisey_2005;Yenisey_2009;Yenisey_2012;Yukon_2020;Yukon_2021;Yukon_2022;Yukon_2024,,,150,38,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.3933891301751173,1.7088301417299951,0.28248817578509705,0.6195106195794104
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,river_year_gkf_3,Kolyma_2009;Kolyma_2013;Kolyma_2015;Kolyma_2021;Lena_2018;Mackenzie_2005;Mackenzie_2018;Mackenzie_2023;Mackenzie_2024;Ob_2014;Ob_2017;Yenisey_2011;Yukon_2011;Yukon_2017;Yukon_2018,,,150,38,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,1.9275156424589948,1.478349323970149,-0.20064501839912782,0.4720310720895766
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,river_year_gkf_4,Kolyma_2019;Lena_2015;Lena_2016;Mackenzie_2015;Mackenzie_2016;Mackenzie_2017;Mackenzie_2021;Mackenzie_2022;Ob_2015;Yenisey_2016;Yenisey_2018;Yenisey_2021;Yukon_2014;Yukon_2019,,,151,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,1.8923514747546186,1.570993216030032,-0.585850919895815,0.020604771270079425
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,river_year_groupkfold,river_year_gkf_5,Kolyma_2005;Kolyma_2018;Lena_2011;Lena_2017;Lena_2021;Mackenzie_2014;Mackenzie_2020;Ob_2005;Ob_2016;Ob_2020;Yenisey_2017;Yenisey_2020;Yukon_2010;Yukon_2015,,,151,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.4233767634951353,1.6880948839726964,0.2035991389681382,0.5970853024392717
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,loro_Kolyma,Kolyma,,Kolyma,159,29,Kolyma,HLS;Landsat;Sentinel-2,False,,3.837559963727521,2.987185685266959,2.7732715225671525,-0.3630394633249967
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,loro_Lena,Lena,,Lena,166,22,Lena,HLS;Landsat;Sentinel-2,False,,3.6995736226131966,2.86040861483833,1.4910826653126017,0.3502071155668498
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,loro_Mackenzie,Mackenzie,,Mackenzie,144,44,Mackenzie,HLS;Landsat;Sentinel-2,False,,2.486224006275131,2.1429495577148594,-2.1122168152245773,-3.420354344089385
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,loro_Ob,Ob,,Ob,162,26,Ob,HLS;Landsat;Sentinel-2,False,,3.555900409273551,2.895126499506146,1.9308406648208396,-0.20225977562175368
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,loro_Yenisey,Yenisey,,Yenisey,159,29,Yenisey,HLS;Landsat;Sentinel-2,False,,3.662265089412296,3.1364034331433235,-3.060686895660859,-0.7327532375461565
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,loro_Yukon,Yukon,,Yukon,150,38,Yukon,HLS;Landsat;Sentinel-2,False,,1.9261305691353994,1.6256274063530858,-0.6718027234247861,0.5599287646776694
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2004,2004,2004,,186,2,Yenisey,Landsat,False,,3.2608402818680267,3.168841844027215,3.168841844027215,-0.4060270206747971
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2005,2005,2005,,181,7,Kolyma;Mackenzie;Ob;Yenisey,Landsat,False,,1.2832569523989765,0.8708124567796494,-0.1529809584379494,0.6959658180552557
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,loyo_2009,2009,2009,,182,6,Kolyma;Mackenzie;Yenisey;Yukon,Landsat,False,,2.160573188981931,1.9677569365931171,-1.7131836603733823,0.2049451001650573
