model_id,feature_set,target_scale,year,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2014,31,2.5612289388126785,1.6184572898351666,0.749907609025007,0.11855349778163138,-1.839515220442934,4.886881925404473,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2015,33,1.8090778008417228,1.3102664393452264,-0.2234778930547624,-0.4049402640711772,-2.7549423802771855,3.146401598970067,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2016,34,1.6922800344073587,1.2310000678746027,-0.43332999239637454,-0.2305699058208528,-3.2037109880893726,1.80931186780227,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2017,32,2.051951802081665,1.3687304432467517,-0.05406494392572131,0.39103780092240736,-4.528025477390084,2.577964386155673,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2018,32,1.895865154671975,1.4644617678683565,-0.08556564824497764,0.06356985856526487,-3.7944169250362876,2.645754029821763,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2019,24,2.0665783023967794,1.534185184998831,0.397222431652525,-0.11359648348436058,-1.8111551128007484,3.933860535543359,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2020,29,1.5596838089422203,1.1739585150088296,0.12236775086290044,0.05660938412071559,-1.494582992103799,2.7287677216137878,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2021,34,1.7790717614266132,1.4490807381694235,-0.369449260720645,-0.4979975943865982,-3.3093340073081627,2.0419604334237382,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2022,10,2.5142113332599765,1.5773404961568647,1.0333333354200547,0.8284302918646231,-1.0846298238591852,4.735382215291862,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2023,12,1.985294217986291,1.3293286686307593,1.1668971116862628,0.8041274234472111,-0.3924597004089385,3.9357124716303535,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2024,6,0.7163731785820739,0.5869023977992641,-0.5844628998524496,-0.6840073129611757,-1.0760104712177148,-0.016493987258780707,small_n;systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2003,5,2.03397910919628,1.6080601178462768,-0.7258056037129649,-0.7337844938363149,-3.333453833136145,1.586337942649668,small_n;systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2004,41,2.1712028414111013,1.864114952573746,-0.751252041767382,-1.1278086338162163,-2.955007742312333,2.0177262578897217,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2005,41,1.6628328285937617,1.3248624719520603,-0.028798365019166994,-0.20222905734252183,-2.072990442447935,2.9291464179057645,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2006,10,2.0100644119426523,1.6765305940143223,1.1421668682853687,1.4005970332550444,-1.3039517878026199,3.0967396195880137,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2007,1,1.671161779248449,1.671161779248449,1.671161779248449,1.671161779248449,1.671161779248449,1.671161779248449,small_n;systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2009,27,2.6681942989695746,2.0955683333521984,-0.3151241933594142,-0.8469366905113667,-3.480741081278417,5.503398798486817,
