model_id,feature_set,target_scale,validation_scheme,n_test_total,n_folds,ablation_id,sample_scope,common_subset_n,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,rmse_log_space_mean,mae_log_space_mean
ridge_alpha_10,F3_q_season_river_fixed,raw,leave_one_year_out,545,21,,feature_specific_complete_case,545,10900,2.2681901201557233,1.7156729546633707,1.3185169894015294,0.5886937503597196,0.0035882839547116837,-0.26428166870963654,0.7917550355334422,0.7679585521122898,,
ridge_alpha_10,F3_q_season_river_fixed,raw,river_year_groupkfold,545,5,,feature_specific_complete_case,545,2180,2.2669385053296023,1.7255974607486106,1.3809765265071867,0.5891475526754404,0.022492386534869156,-0.2595825810379031,0.7946665919107894,0.7685457448940289,,
ridge_alpha_10,F4_reduced_hydroclimate,log,leave_one_year_out,511,21,,feature_specific_complete_case,511,10220,2.6287850031337907,1.9255663287135392,1.4510672963236653,0.4524733395435895,0.48166882176198467,-0.13721758364793235,0.6916622338365491,0.7001021606660622,0.33688875240898447,0.2810224282163011
ridge_alpha_10,F4_reduced_hydroclimate,log,river_year_groupkfold,511,5,,feature_specific_complete_case,511,2044,2.6536193261734264,1.936595835950337,1.4409236515521506,0.4420794259977133,0.5111318082472524,-0.13219135344756694,0.6803038286433847,0.6943364345566329,0.358473634225068,0.2925758042822359
ridge_alpha_10,F4_reduced_hydroclimate,raw,leave_one_year_out,511,21,,feature_specific_complete_case,511,10220,2.6975072916111755,2.122512416517349,1.8208779110883517,0.42347202103615245,0.024268517646159525,-0.5323496984570508,0.6726872194306547,0.650839658209775,,
ridge_alpha_10,F4_reduced_hydroclimate,raw,river_year_groupkfold,511,5,,feature_specific_complete_case,511,2044,2.6874434271605447,2.1108357326445786,1.8087955073855921,0.42776581939543745,0.030125353134436872,-0.498427064022553,0.6725758770656756,0.6542473699127545,,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,log,leave_one_year_out,511,21,,feature_specific_complete_case,511,10220,2.23752094607428,1.5604454005799016,1.0501470059558686,0.6033300028834098,0.33645690852226645,0.00593786583321565,0.813530184703834,0.7849423322853442,0.2936845234276654,0.23609147173186817
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,log,river_year_groupkfold,511,5,,feature_specific_complete_case,511,2044,2.289900926240181,1.6021573361610102,1.0912246292428214,0.5845406670814843,0.3056076046860474,-0.017045918801176008,0.8118308645785515,0.7695944180464511,0.29825560023763587,0.23404008586474562
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,leave_one_year_out,511,21,,feature_specific_complete_case,511,10220,2.2503758531432725,1.6606252141161055,1.2435769191125425,0.5987590479769367,0.011051072119171165,-0.239617966798912,0.8052093665106619,0.7744886069555754,,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,river_year_groupkfold,511,5,,feature_specific_complete_case,511,2044,2.283197341524222,1.6817817722396442,1.2997809184008737,0.5869695846139156,-0.030865692773703348,-0.23751721820289706,0.8050353378545756,0.766188673533412,,
