model_id,feature_set,target_scale,fold_id,fold_year,n_test,rmse,mae,bias,r2,rivers_in_fold,overall_rmse,flags
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2020,2020,29,1.5596838089422203,1.1739585150088296,0.12236775086290044,0.7192899031223139,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2021,2021,34,1.7790717614266132,1.4490807381694235,-0.369449260720645,0.39669692182230976,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2022,2022,10,2.5142113332599765,1.5773404961568647,1.0333333354200547,0.3406227623503536,Mackenzie;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2023,2023,12,1.985294217986291,1.3293286686307593,1.1668971116862628,0.40241924258879913,Mackenzie;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,loyo_2024,2024,6,0.7163731785820739,0.5869023977992641,-0.5844628998524496,0.33061803916422605,Mackenzie;Yukon,2.2159252904772724,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2003,2003,5,2.03397910919628,1.6080601178462768,-0.7258056037129649,0.5283776770808376,Kolyma;Lena;Mackenzie;Ob;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2004,2004,41,2.1712028414111013,1.864114952573746,-0.751252041767382,0.5856138625643816,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2005,2005,41,1.6628328285937617,1.3248624719520603,-0.028798365019166994,0.6944570299639113,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2006,2006,10,2.0100644119426523,1.6765305940143223,1.1421668682853687,0.6414593314202485,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2007,2007,1,1.671161779248449,1.671161779248449,1.671161779248449,,Mackenzie,2.2407770032345224,n_test_lt_5
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2009,2009,27,2.6681942989695746,2.0955683333521984,-0.3151241933594142,0.5012204250503421,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2010,2010,29,2.8085165722117473,2.208618326580751,1.360833615261949,0.49870697136686104,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2011,2011,29,3.3450091787636476,2.25749481531599,1.837457260126186,0.4829692514413654,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2012,2012,21,1.7956085126939736,1.3077747449697132,-0.051359642235036716,0.7480880706143063,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2013,2013,30,2.3717380466799973,1.7651248340044121,0.026156855381821116,0.47818510632258804,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2014,2014,31,2.7500680270834823,1.7349244667341113,0.5697118992308817,0.6416081227028525,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2015,2015,33,2.006096348291483,1.6168966303110008,-0.34611175274321754,0.6271247961167078,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2016,2016,34,1.9450501581365736,1.5156712779363937,-0.5884737430728495,0.2399013412128863,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2017,2017,32,2.2419592013874143,1.584304152447386,-0.23917837947588716,0.27488458959424233,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2018,2018,32,2.1141968653538683,1.6069982266168061,-0.3895155272840787,0.37501904575167977,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2019,2019,24,2.198173577095899,1.7144905331132037,-0.03407430957434362,0.6498574583302479,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2020,2020,29,1.6736814658040617,1.2870757837001354,-0.22981588238112383,0.6767559643871954,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2021,2021,34,1.9862547730617162,1.5706259280648163,-0.8274013759745602,0.24799883013312018,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2022,2022,10,2.1707829275197104,1.493251801835781,0.7214854560615455,0.5084551095341739,Mackenzie;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2023,2023,12,1.5730706314965384,1.234101541880025,0.8575129173686363,0.6248168762125836,Mackenzie;Yukon,2.2407770032345224,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,loyo_2024,2024,6,0.949986851344152,0.7706841892604558,-0.7215534654598121,-0.1771466160994315,Mackenzie;Yukon,2.2407770032345224,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2003,2003,5,2.0471671064077728,1.6642763477543128,-0.7341621071837073,0.5222420016463778,Kolyma;Lena;Mackenzie;Ob;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2004,2004,41,2.1400205042571723,1.8503362270779726,-0.7233003493369081,0.5974310359144894,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2005,2005,41,1.6650340449271128,1.2982915265821153,-0.024989162615907393,0.6936475543176326,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2006,2006,10,2.0689225079710787,1.7478052274804554,1.2069579495484766,0.6201545542165307,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2007,2007,1,1.4883181851624592,1.4883181851624592,1.4883181851624592,,Mackenzie,2.2503758531432725,n_test_lt_5
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2009,2009,27,2.6774985696115836,2.115611186694728,-0.21894467505549772,0.49773576758065685,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2010,2010,29,2.8967122769906855,2.2453259447837266,1.4158559160642517,0.4667284640537097,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2011,2011,29,3.4407290344051886,2.3013657163448134,1.8945977539090488,0.45295545862471,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,rmse_gt_1_5x_overall
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2012,2012,21,1.8441930351419036,1.3311485523772122,-0.059000695644961396,0.7342714743739986,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2013,2013,30,2.334224230950121,1.6944117100409504,0.0014907152938822056,0.49456166750644026,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2014,2014,31,2.7907106660739616,1.7394429678875665,0.5754238371275485,0.6309366590846435,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2015,2015,33,2.039134609224557,1.656862579747388,-0.38993908536788563,0.6147419513055482,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2016,2016,34,1.8763261462273075,1.462849747214341,-0.6181840749927625,0.29266521423307146,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2017,2017,32,2.1887307200961725,1.5508591208984297,-0.24144231219898715,0.3089071627940978,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2018,2018,32,2.099959935689851,1.598041138262123,-0.40371529620549673,0.3834079060872353,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2019,2019,24,2.2075340185641545,1.7131062475496022,-0.04524703709663369,0.6468690983247822,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2020,2020,29,1.6466875611939233,1.263233873929676,-0.22751556011944885,0.6870987368251804,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2021,2021,34,1.9725459469508215,1.5406563311012256,-0.8079827253180125,0.25834340189617466,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2022,2022,10,2.1777650876464016,1.508735921322185,0.6034583733844013,0.5052879899215043,Mackenzie;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2023,2023,12,1.5847661362838839,1.2119902398674722,0.7441301934944575,0.6192172956538158,Mackenzie;Yukon,2.2503758531432725,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,loyo_2024,2024,6,1.0867995032440678,0.9288627885107651,-0.9288627885107651,-0.5406153914987111,Mackenzie;Yukon,2.2503758531432725,
