model_id,feature_set,target_scale,month,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,7,47,1.9453875487295378,1.4226889338481097,-0.0916074035199183,-0.24285682157590394,-3.1254679221521107,3.125749163422845,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,8,67,2.0430193255070614,1.5453758063818686,-0.3244859326652358,-0.6452513987814594,-3.2745554128537724,3.0191685872202303,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,9,50,1.6208324734964112,1.2284485243594245,0.2275564183283178,0.08090611862684183,-2.269107044281526,3.076486924582271,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,10,35,1.3775099063841445,1.0716185863891483,0.1548652322322238,0.2350303779713272,-2.1818700105929763,2.084735778305643,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,11,28,2.0027901406202195,1.571836135876097,1.282132087303989,1.2562515350568655,-0.5927465937684887,3.1635690247123227,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,12,26,1.8641939849391693,1.3570496782727421,0.4771382205424849,0.14843873179539946,-2.4157423217893768,3.6443458555613524,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,1,25,1.442949875259182,1.2299859574767849,-0.8000344057312535,-1.1833645457720552,-2.332071581373572,0.6852863658906352,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,2,25,1.7194021468235934,1.459471973548558,-0.655271008105394,-0.935065800205142,-2.7456283584824943,1.8888545354244435,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,3,33,1.759589641640246,1.29779226911658,-0.5346942605881997,-0.6216955860401598,-3.744363812356999,1.7050532144746189,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,4,29,1.8373004510355837,1.4131848153142001,0.0037503538178197365,0.14739217140193084,-3.5547518117725043,3.0274621972895046,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,5,33,4.226506018860363,3.387809003402378,1.1075059249733208,0.7397616713525661,-4.7643933054707786,8.32579233692235,systematic_positive_bias;high_rmse_relative_to_overall
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,6,113,2.4760927940240998,1.8173293527878533,0.29249899881035535,0.06362981396557466,-2.9011216360096714,4.899834478016149,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,7,47,2.1458513052997086,1.6998436530526866,-0.5289026581664699,-0.8587788971663262,-3.3625063637140555,2.6282424029646902,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,8,67,2.157401626361138,1.6671504105812363,-0.5502106065894538,-0.6310429549502681,-3.532792269173308,2.832326469047178,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,9,50,1.7182865770699105,1.354163988661706,0.060386545384295325,0.016705866533814007,-2.7588915113073122,3.02538553137437,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,10,35,1.3750543773111417,1.0442730301277228,-0.04982650519813798,0.12620856120048352,-2.41691256635563,1.607176472649403,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,11,28,2.0467193431484914,1.6553094458767639,1.3154983682296617,1.0249403584783927,-0.5219343765570866,3.4916890868849046,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,12,26,1.9423072847940785,1.5528580047456637,0.5014047233473229,0.49147250733390235,-2.7097303658155623,3.4460571594373963,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,1,25,1.3900580889138876,1.184316348594821,-0.7097998569220159,-1.0062747249753192,-2.301386955780532,0.737645703704111,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,2,25,1.6572081249914643,1.4320583901385562,-0.6006936970307087,-0.9928814009911924,-2.5010261100474884,1.8923273403798326,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,3,33,1.7540597910537539,1.3261664598036313,-0.6020336875516477,-0.7278909532284215,-3.6468935735927714,1.5232124124953539,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,4,29,1.7463202928155577,1.3511973690732173,-0.1759865359587962,-0.1526293154683782,-3.471613031353519,2.7248172942853026,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,5,33,4.331368212596332,3.4334825189837415,1.1376282031282838,0.5467528584230701,-4.914318501726434,8.544281273001463,systematic_positive_bias;high_rmse_relative_to_overall
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,6,113,2.5139338479819116,1.8266767678280575,0.39989337634769845,0.10480667975472269,-2.8313038345324437,5.266965869389381,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,7,47,2.1516117125328567,1.7368263328336584,-0.5969665407385827,-0.9682519471608888,-3.230635859520557,2.7460588255985066,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,8,67,2.1665739903280796,1.7104415624737643,-0.6469825221111849,-0.7497838991563173,-3.4139779966869934,2.9211147901985193,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,9,50,1.675862664375044,1.2898949078201825,0.015096850800972738,-0.05138449067552653,-2.710423434027242,2.9002771513109478,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,10,35,1.3166785735327002,0.9746270927574225,-0.03251035267790198,0.050675828655292854,-2.2050730035345354,1.6314911824405542,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,11,28,2.0617264418369246,1.6603420414240442,1.3525252389604787,1.1468470805216957,-0.40686148473447314,3.5588464886302895,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,12,26,1.915610154407438,1.5067618481154668,0.5603094312364629,0.4604382999488179,-2.526387859588598,3.4128047156307804,systematic_positive_bias
