candidate_key,model_id,feature_set,target_scale,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_fold,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,stress_test,overall_rmse,small_fold_n,high_rmse,high_bias,unstable_fold
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2007,2007,2007,,544,1,Mackenzie,2.0032853934676944,2.0032853934676944,2.0032853934676944,,2.0032853934676944,2.0032853934676944,,,False,2.2578609929695856,True,False,True,True
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2009,2009,2009,,517,28,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.668514457910685,2.0868564234190905,1.806114882963982,0.50776940596747,-0.19394069943343492,-0.010732313554244755,0.6934027087075465,0.7149605569793027,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2010,2010,2010,,515,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.873984555903692,2.296912544403916,2.0204927461004116,0.4744107291967872,1.3922501062184538,1.088626334179446,0.756594441021702,0.7802369133111375,False,2.2578609929695856,False,False,True,True
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2011,2011,2011,,515,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.3305347603627475,2.2481873799084315,1.0369838413261503,0.48608497607121204,1.905442937263241,0.9216295024269763,0.871869350764121,0.8492856687121783,False,2.2578609929695856,False,False,True,True
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2012,2012,2012,,522,23,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.7852480106491473,1.3154025414010586,1.026294240587271,0.7456719353448031,-0.08919930647937592,-0.14063664473820392,0.8732394632782949,0.8749102578624591,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2013,2013,2013,,512,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.316080283085523,1.7937617398948393,1.3567123814304454,0.4976848275744493,0.009137461474114818,-0.6397819712386363,0.695252462796418,0.7257312156883874,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2014,2014,2014,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.6431645500754364,1.7774338846142632,1.403978724080857,0.6458511550067341,0.47823378442082753,-0.33970445482235334,0.89536784612272,0.8357877621252702,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2015,2015,2015,,509,36,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.9607681979274483,1.6272561005593131,1.5353909827930035,0.6284501641938969,-0.3696225710922865,-0.5881401228722092,0.7405357665270607,0.801978956675729,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2016,2016,2016,,508,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.001006658664806,1.5951559645798703,1.1066091552020811,0.21298929068847272,-0.6424969021415559,-0.7594768414270217,0.7886623278292836,0.7318189486695365,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2017,2017,2017,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2529210197955365,1.6392375779090915,1.1550987828843304,0.2553807392738582,-0.2038965190187873,0.20617681430542945,0.690496459519446,0.6711295292911555,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2018,2018,2018,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.072209901175375,1.66705363159166,1.3111745181960552,0.3826878035034734,-0.28151523754747815,-0.1505749992884331,0.6259810400465978,0.6793312901570966,False,2.2578609929695856,False,False,False,False
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,loyo_2019,2019,2019,,519,26,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2123493922961313,1.720968033961835,1.5041120845537885,0.6472766929759798,-0.18535972259418415,-0.3773906619790619,0.7848713487946566,0.8161597594663782,False,2.2578609929695856,False,False,False,False
