candidate_key,model_id,feature_set,target_scale,validation_scheme,n_test_total,n_train_total,n_folds,stress_test,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
R3_river_specific_seasonality:linear_regression:raw:leave_one_year_out,linear_regression,R3_river_specific_seasonality,raw,leave_one_year_out,545,10900,21,False,1.9160615993633843,1.3932216845272847,1.0598667654080716,0.7064883567526461,-0.0019437255885397364,-0.16885207819897152,0.842075043065352,0.8406575302875785
R3_river_specific_seasonality:linear_regression:raw:leave_recent_years_out,linear_regression,R3_river_specific_seasonality,raw,leave_recent_years_out,65,480,1,False,1.5451391250898294,1.2359382980657425,0.9913631850147482,0.6015270202843068,-0.24813880019153892,-0.37294164284935594,0.7242132867132868,0.7913854562832506
R3_river_specific_seasonality:linear_regression:raw:river_year_groupkfold,linear_regression,R3_river_specific_seasonality,raw,river_year_groupkfold,545,2180,5,False,1.9056352903712692,1.3926610450862356,1.027956629477043,0.7096739713301377,0.013245480016750605,-0.16413967499802506,0.8427546249139087,0.8425412586327634
R3_river_specific_seasonality:ridge_alpha_0.1:raw:leave_one_river_out,ridge_alpha_0.1,R3_river_specific_seasonality,raw,leave_one_river_out,545,2725,6,True,3.5074104466585285,2.8052369098499943,2.392089440894945,0.016488183769404974,-0.19919318692329915,-0.8063754210843994,0.5527132508395785,0.5399692895933672
R3_river_specific_seasonality:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R3_river_specific_seasonality,raw,leave_one_year_out,545,10900,21,False,1.9160179193687317,1.3928572313783958,1.0581839101012758,0.7065017388285437,-0.0019116798625720285,-0.1742285736065372,0.8421294941254333,0.8406503829834692
R3_river_specific_seasonality:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,R3_river_specific_seasonality,raw,leave_recent_years_out,65,480,1,False,1.544781162329676,1.23520800919956,0.9821807054623903,0.6017116275637457,-0.2487822346022824,-0.375197759657671,0.7270541958041958,0.791362182580802
R3_river_specific_seasonality:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,R3_river_specific_seasonality,raw,river_year_groupkfold,545,2180,5,False,1.905679653683621,1.3924120841085363,1.028630183718672,0.7096604535554822,0.013321845421361065,-0.1650839923459282,0.8429524872411476,0.842517005053216
R3_river_specific_seasonality:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,R3_river_specific_seasonality,raw,leave_one_river_out,545,2725,6,True,3.1440772535192143,2.5112552071529395,2.171602126815703,0.2096984805805524,0.07278410957146797,-0.6615871851761801,0.5017453905996359,0.4712707421893181
R3_river_specific_seasonality:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R3_river_specific_seasonality,raw,leave_one_year_out,545,10900,21,False,2.31457564068399,1.7078762477844407,1.345900561549854,0.5716989333030481,0.0033746686466552124,-0.47892750129884565,0.7575179955718376,0.7744148226748118
R3_river_specific_seasonality:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,R3_river_specific_seasonality,raw,leave_recent_years_out,65,480,1,False,1.8721792700216806,1.428567662209356,1.0838234324847464,0.4149963679185896,-0.5852243553554674,-0.658534779146406,0.6633741258741259,0.690334465556742
R3_river_specific_seasonality:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,R3_river_specific_seasonality,raw,river_year_groupkfold,545,2180,5,False,2.3632595080764296,1.750467581767044,1.354250715678213,0.5534920175225375,0.01756901907447321,-0.41788752137555285,0.7452656174514832,0.7651018167265334
R3_river_specific_seasonality:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,R3_river_specific_seasonality,raw,leave_one_river_out,545,2725,6,True,3.3503137310595372,2.692352428147041,2.2874962770049088,0.10261799960690166,-0.06992663365183943,-0.8366046450809459,0.542058375637796,0.5187669098372011
R3_river_specific_seasonality:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R3_river_specific_seasonality,raw,leave_one_year_out,545,10900,21,False,1.9522709710325894,1.406766382149316,1.0137023187702319,0.69529008009207,0.00022296119145810258,-0.245006651830721,0.8384922077921084,0.835072131682056
R3_river_specific_seasonality:ridge_alpha_10:raw:leave_recent_years_out,ridge_alpha_10,R3_river_specific_seasonality,raw,leave_recent_years_out,65,480,1,False,1.5602985481476754,1.2208280124468658,0.9190285378704193,0.5936697953067545,-0.3095160008130459,-0.39064795373271455,0.7385926573426573,0.7822042946625256
R3_river_specific_seasonality:ridge_alpha_10:raw:river_year_groupkfold,ridge_alpha_10,R3_river_specific_seasonality,raw,river_year_groupkfold,545,2180,5,False,1.9583704759038574,1.417705541076617,1.0303847047413104,0.6933830876096182,0.017792271667571396,-0.22533888415518977,0.8366399450805221,0.8344089617896029
R3_river_specific_seasonality:ridge_alpha_1:raw:leave_one_river_out,ridge_alpha_1,R3_river_specific_seasonality,raw,leave_one_river_out,545,2725,6,True,3.486637108345089,2.79028737432178,2.376015238306908,0.02810377378281048,-0.18176335975324012,-0.804701116016938,0.5512631623974824,0.5374171605466456
R3_river_specific_seasonality:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R3_river_specific_seasonality,raw,leave_one_year_out,545,10900,21,False,1.9162833983801264,1.390384054730611,1.0458854571633402,0.7064204003134105,-0.0016366115285754211,-0.17021056087886954,0.8422740173951793,0.8405111903609396
R3_river_specific_seasonality:ridge_alpha_1:raw:leave_recent_years_out,ridge_alpha_1,R3_river_specific_seasonality,raw,leave_recent_years_out,65,480,1,False,1.5423716271633758,1.229659445496239,0.9556033408409643,0.6029531514837587,-0.25456273469831814,-0.38736413597362507,0.7291958041958042,0.791043649427158
R3_river_specific_seasonality:ridge_alpha_1:raw:river_year_groupkfold,ridge_alpha_1,R3_river_specific_seasonality,raw,river_year_groupkfold,545,2180,5,False,1.906945600693153,1.3911036148119607,1.0267902597146112,0.7092745790844319,0.013966854927131844,-0.1739224447127654,0.8436396677740586,0.8422022233658781
R4_river_specific_Q_and_season:linear_regression:raw:leave_one_river_out,linear_regression,R4_river_specific_Q_and_season,raw,leave_one_river_out,545,2725,6,True,3.347504230188013,2.6301981243407466,2.0818587836199978,0.10412241895648566,0.3254129967558175,-0.26316978499405597,0.5473519527598688,0.5470529257963864
R4_river_specific_Q_and_season:linear_regression:raw:leave_one_year_out,linear_regression,R4_river_specific_Q_and_season,raw,leave_one_year_out,545,10900,21,False,1.8630248251079742,1.3417143255691193,0.9795595252763389,0.7225123342237852,0.00011665988226156614,-0.15625212593954974,0.8508696862036641,0.8502005336365355
R4_river_specific_Q_and_season:linear_regression:raw:leave_recent_years_out,linear_regression,R4_river_specific_Q_and_season,raw,leave_recent_years_out,65,480,1,False,1.4389546900170689,1.1765231721938034,1.136654061314851,0.6544125710466067,-0.24461719256265843,-0.30731142920678023,0.7106206293706293,0.8224944361943541
R4_river_specific_Q_and_season:linear_regression:raw:river_year_groupkfold,linear_regression,R4_river_specific_Q_and_season,raw,river_year_groupkfold,545,2180,5,False,1.8552828531390835,1.3393776315990769,0.9836889998250875,0.7248137936224938,0.02146455719538948,-0.1611143911989643,0.8510298887099071,0.8516759793913002
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:leave_one_river_out,ridge_alpha_0.1,R4_river_specific_Q_and_season,raw,leave_one_river_out,545,2725,6,True,3.3842131387949346,2.649687428582257,2.107857574970353,0.08436620384584537,0.33450210582474804,-0.2608678903903101,0.550430309525484,0.5467711262483841
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R4_river_specific_Q_and_season,raw,leave_one_year_out,545,10900,21,False,1.864089111640533,1.3438488019536436,1.0071122868424194,0.722195203998876,-0.0004044305188119153,-0.17583484645605996,0.8501243479353767,0.849892666879802
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,R4_river_specific_Q_and_season,raw,leave_recent_years_out,65,480,1,False,1.4495901215860383,1.1611405256143978,1.0787628926185762,0.6492851624741496,-0.23606537259028654,-0.2293483143517694,0.7296328671328671,0.8182045044981314
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,R4_river_specific_Q_and_season,raw,river_year_groupkfold,545,2180,5,False,1.8566558065293042,1.3426543353736229,0.9912273676599117,0.7244063542593415,0.020417591157056516,-0.15103319318281994,0.8508723550098762,0.8512436976144254
R4_river_specific_Q_and_season:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,R4_river_specific_Q_and_season,raw,leave_one_river_out,545,2725,6,True,3.116347627988107,2.439519351346522,2.072785557509209,0.22357735395096645,0.3583914216711611,-0.35317419929093674,0.512089980012487,0.48888991407318244
R4_river_specific_Q_and_season:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R4_river_specific_Q_and_season,raw,leave_one_year_out,545,10900,21,False,2.1330617927143267,1.5417902514545734,1.1485794074307032,0.6362413971450147,0.003105425877966405,-0.31717889514783426,0.8106037759417484,0.805808728196867
R4_river_specific_Q_and_season:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,R4_river_specific_Q_and_season,raw,leave_recent_years_out,65,480,1,False,1.7716653803377553,1.3859569622468932,1.1640879650752591,0.47612569725026876,-0.3032243954289331,-0.32698175711142685,0.6736888111888112,0.7024994941523726
R4_river_specific_Q_and_season:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,R4_river_specific_Q_and_season,raw,river_year_groupkfold,545,2180,5,False,2.158678412488477,1.5673369368455499,1.2051390246464733,0.627451948227155,0.013220284794057343,-0.3606099890046046,0.8058941855123781,0.8025538870492772
R4_river_specific_Q_and_season:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,R4_river_specific_Q_and_season,raw,leave_one_river_out,545,2725,6,True,3.3183579429121237,2.577457108798315,1.9551529658923297,0.11965508377181444,0.49856772350735623,-0.260906883027622,0.5467310105144766,0.5286810408323996
R4_river_specific_Q_and_season:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R4_river_specific_Q_and_season,raw,leave_one_year_out,545,10900,21,False,1.9399495481061126,1.40753797550979,1.0002929209904012,0.6991241912728818,0.00023578823822714777,-0.2189809543763328,0.8396340120499324,0.8362951844493124
R4_river_specific_Q_and_season:ridge_alpha_10:raw:leave_recent_years_out,ridge_alpha_10,R4_river_specific_Q_and_season,raw,leave_recent_years_out,65,480,1,False,1.5662249926688812,1.2404915836436319,1.0585043595891905,0.5905772246958592,-0.25179368842095307,-0.34781102608221115,0.7160402097902098,0.7801085865677271
R4_river_specific_Q_and_season:ridge_alpha_10:raw:river_year_groupkfold,ridge_alpha_10,R4_river_specific_Q_and_season,raw,river_year_groupkfold,545,2180,5,False,1.9365928857610955,1.4126977607820301,1.0170629669099003,0.7001644912732583,0.016451245437137885,-0.1383030497070834,0.8395798575238747,0.8370248640763623
R4_river_specific_Q_and_season:ridge_alpha_1:raw:leave_one_river_out,ridge_alpha_1,R4_river_specific_Q_and_season,raw,leave_one_river_out,545,2725,6,True,3.4160801802586405,2.6466687720959348,2.0488651323548908,0.06704110221906279,0.43537465390023633,-0.1991876811353741,0.5513678389078089,0.5399333854832751
R4_river_specific_Q_and_season:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R4_river_specific_Q_and_season,raw,leave_one_year_out,545,10900,21,False,1.8987079920354286,1.3767090937699518,1.0170220312371558,0.7117809007610575,-0.0007153538691955902,-0.1602221321021906,0.8444542467368535,0.8436898412688699
