candidate_key,feature_set,model_id,target_scale,validation_scheme,f3_rmse,candidate_rmse,rmse_reduction_vs_f3,f3_mae,candidate_mae,mae_reduction_vs_f3,f3_lena_rmse,candidate_lena_rmse,delta_lena_rmse_vs_f3,f3_high_doc_bias,candidate_high_doc_bias,delta_high_doc_bias_abs_vs_f3,f3_extreme_high_bias,candidate_extreme_high_bias,delta_extreme_high_bias_abs_vs_f3,f3_unstable_fold_count,candidate_unstable_fold_count,delta_unstable_fold_count_vs_f3,f3_groupkfold_rmse,candidate_groupkfold_rmse,groupkfold_rmse_reduction_vs_f3
R6_high_flow_indicator:ridge_alpha_100:raw:leave_one_year_out,R6_high_flow_indicator,ridge_alpha_100,raw,leave_one_year_out,2.2578457483025893,2.357998742833829,-0.1001529945312396,1.7161097019291147,1.7400847800433568,-0.023975078114242043,3.1287941689984615,3.325932463810724,-0.19713829481226242,0.9713958256373021,1.31382998085772,-0.342434155220418,3.6185279298481965,4.439756076291727,-0.8212281464435303,4,6,-2,2.2495269891461085,2.391225301462538,-0.1416983123164295
R6_high_flow_indicator:ridge_alpha_10:raw:leave_one_year_out,R6_high_flow_indicator,ridge_alpha_10,raw,leave_one_year_out,2.2578457483025893,2.1748562410306636,0.08298950727192578,1.7161097019291147,1.6096219840028825,0.10648771792623224,3.1287941689984615,3.047413394511518,0.0813807744869437,0.9713958256373021,0.84290505397576,0.1284907716615421,3.6185279298481965,3.5903260980249447,0.028201831823251755,4,4,0,2.2495269891461085,2.170614958926348,0.07891203021976034
R6_high_flow_indicator:ridge_alpha_1:raw:leave_one_year_out,R6_high_flow_indicator,ridge_alpha_1,raw,leave_one_year_out,2.2578457483025893,2.13740156507632,0.12044418322626926,1.7161097019291147,1.5867484611072349,0.12936124082187983,3.1287941689984615,2.967692692856605,0.16110147614185655,0.9713958256373021,0.7784443329448433,0.19295149269245881,3.6185279298481965,3.270132185708742,0.3483957441394545,4,4,0,2.2495269891461085,2.1279372593105106,0.1215897298355979
R7_robust_huber_F3:huber_F3:raw:leave_one_year_out,R7_robust_huber_F3,huber_F3,raw,leave_one_year_out,2.2578457483025893,2.2974036033984024,-0.03955785509581311,1.7161097019291147,1.6963233813458698,0.01978632058324492,3.1287941689984615,3.2526156595060147,-0.1238214905075532,0.9713958256373021,1.2596913641968663,-0.28829553855956425,3.6185279298481965,4.22979797543784,-0.6112700455896438,4,5,-1,2.2495269891461085,2.29144329291007,-0.041916303763961604
R8_log_target_F3:ridge_alpha_0.1:log:leave_one_year_out,R8_log_target_F3,ridge_alpha_0.1,log,leave_one_year_out,2.2578457483025893,2.256839926726125,0.0010058215764643386,1.7161097019291147,1.6334112544950192,0.08269844743409549,3.1287941689984615,3.111076101175939,0.01771806782252261,0.9713958256373021,1.5252472674264406,-0.5538514417891385,3.6185279298481965,3.5850712685283503,0.03345666131984615,4,6,-2,2.2495269891461085,2.2363785148666064,0.013148474279502054
R8_log_target_F3:ridge_alpha_100:log:leave_one_year_out,R8_log_target_F3,ridge_alpha_100,log,leave_one_year_out,2.2578457483025893,2.5491512119464175,-0.29130546364382814,1.7161097019291147,1.813185518752159,-0.09707581682304434,3.1287941689984615,3.7101192909267526,-0.5813251219282911,0.9713958256373021,2.365481428768685,-1.3940856031313829,3.6185279298481965,5.553504711417746,-1.9349767815695498,4,5,-1,2.2495269891461085,2.5958966680203623,-0.34636967887425385
R8_log_target_F3:ridge_alpha_10:log:leave_one_year_out,R8_log_target_F3,ridge_alpha_10,log,leave_one_year_out,2.2578457483025893,2.27431965630322,-0.016473908000630644,1.7161097019291147,1.6312211935730638,0.08488850835605088,3.1287941689984615,3.152920367084795,-0.024126198086333428,0.9713958256373021,1.6864144321358818,-0.7150186064985797,3.6185279298481965,4.009526994236701,-0.3909990643885046,4,5,-1,2.2495269891461085,2.2642742443920807,-0.014747255245972202
R8_log_target_F3:ridge_alpha_1:log:leave_one_year_out,R8_log_target_F3,ridge_alpha_1,log,leave_one_year_out,2.2578457483025893,2.2575336920083684,0.0003120562942209304,1.7161097019291147,1.631888427889924,0.08422127403919077,3.1287941689984615,3.113053054243168,0.015741114755293495,0.9713958256373021,1.541666373846903,-0.5702705482096009,3.6185279298481965,3.6301796704147655,-0.011651740566569035,4,6,-2,2.2495269891461085,2.2377544127480347,0.01177257639807383
R9_log_target_R2:ridge_alpha_0.1:log:leave_one_year_out,R9_log_target_R2,ridge_alpha_0.1,log,leave_one_year_out,2.2578457483025893,2.131168116002822,0.12667763229976714,1.7161097019291147,1.472934692464249,0.2431750094648657,3.1287941689984615,3.138090116916237,-0.00929594791777566,0.9713958256373021,0.9900269733433125,-0.018631147706010376,3.6185279298481965,3.7383304254715752,-0.11980249562337875,4,3,1,2.2495269891461085,2.115268571044838,0.13425841810127048
R9_log_target_R2:ridge_alpha_100:log:leave_one_year_out,R9_log_target_R2,ridge_alpha_100,log,leave_one_year_out,2.2578457483025893,2.414535836648026,-0.15669008834543652,1.7161097019291147,1.7034566612770856,0.012653040652029102,3.1287941689984615,3.3797695477105756,-0.25097537871211406,0.9713958256373021,1.9186312456576942,-0.9472354200203921,3.6185279298481965,4.700584677185726,-1.0820567473375298,4,5,-1,2.2495269891461085,2.4244365806546995,-0.17490959150859098
R9_log_target_R2:ridge_alpha_10:log:leave_one_year_out,R9_log_target_R2,ridge_alpha_10,log,leave_one_year_out,2.2578457483025893,2.284425869804578,-0.02658012150198852,1.7161097019291147,1.644290222093632,0.07181947983548276,3.1287941689984615,3.1623980613020666,-0.033603892303605054,0.9713958256373021,1.5761316710247724,-0.6047358453874703,3.6185279298481965,3.826460210700592,-0.20793228085239557,4,6,-2,2.2495269891461085,2.2721333045012244,-0.022606315355115925
R9_log_target_R2:ridge_alpha_1:log:leave_one_year_out,R9_log_target_R2,ridge_alpha_1,log,leave_one_year_out,2.2578457483025893,2.1788362409068056,0.07900950739578372,1.7161097019291147,1.5432547642514334,0.17285493767768134,3.1287941689984615,3.1011465138995526,0.027647655098908874,0.9713958256373021,1.3297688489571455,-0.35837302331984344,3.6185279298481965,3.734182286459979,-0.11565435661178247,4,4,0,2.2495269891461085,2.168036582947508,0.0814904061986006
