candidate_key,model_id,feature_set,target_scale,validation_scheme,river,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
B0_F3_finalized:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_river_out,Ob,87,3.576918061411892,2.9864181651324326,2.553307296458458,-0.7877046587071019,2.611283150276716,2.5237636067071794,0.3885405019533889,0.41644555780275555
B0_F3_finalized:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_river_out,Yenisey,87,3.007963109726292,2.522356113094031,2.3312903712166726,-0.06700074436761727,-2.1787429339029756,-2.1181556146692433,0.5821173145869915,0.8000147194025359
B0_F3_finalized:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_river_out,Yukon,96,2.657217032232299,2.2170665103741083,2.0027820079713976,0.35177624873025104,-0.8777267905732314,-1.6397433744589165,0.7779978829798763,0.7430221477315722
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,Kolyma,85,2.2032748075667574,1.661704141085443,1.4084225751465898,0.4713532724015398,0.30775484261855446,0.30363945204849996,0.7760065211893193,0.6961862402093972
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,Lena,87,3.5226534904072477,2.54457683712705,1.8023021518946187,0.34108601026772,1.0583669298236447,0.512308178071633,0.5707931645826277,0.6589905815208845
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,Mackenzie,103,1.475875419715787,1.2362191927163075,1.0858366816442766,-0.797168339684112,-0.9669356052304879,-1.0564477586528636,0.47629513913133653,0.5001610792237905
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,Ob,87,2.6437103325541313,2.0776002609485813,1.7271138521804668,0.023425172704125363,1.1850140956294701,0.9191972467318177,0.4283188238818971,0.46890748311517866
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,Yenisey,87,2.253024199495862,1.8791482175503527,1.8457574957482965,0.40137972244225817,-0.9705688435000664,-1.0333780203645562,0.6605204514194292,0.8095121084130582
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,Yukon,96,2.502512989765504,1.9676892639903432,1.543033149607365,0.4250586218948095,-0.3571576807477503,-1.1242938524674804,0.778506657655502,0.7429428425794484
B0_F3_finalized:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,B0_F3_finalized,raw,leave_recent_years_out,Kolyma,6,2.1891985315227847,1.5736936854328736,0.7062056191289579,0.5898632019364649,-0.0357508700374222,-0.012734607940345422,0.6571428571428573,0.7826491537367579
B0_F3_finalized:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,B0_F3_finalized,raw,leave_recent_years_out,Lena,6,1.3947851549456545,1.2329583739301464,1.3616352320077523,-6.749038594144202,0.23964398253928465,0.4202338365822831,0.2,0.2623088282728208
B0_F3_finalized:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,B0_F3_finalized,raw,leave_recent_years_out,Mackenzie,22,1.1966820427009774,0.9923826595165302,1.0284035121651764,-0.4410975244028834,-0.3864882617997012,-0.35365297420733777,0.35855448898927167,0.44900235658297943
