candidate_key,model_id,feature_set,target_scale,validation_scheme,doc_behavior_group,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
R1_nonlinear_Q:linear_regression:raw:leave_one_year_out,linear_regression,R1_nonlinear_Q,raw,leave_one_year_out,mid,270,1.7443975698802805,1.302415802797693,1.0310372171085143,-0.9082533439693072,-0.35013732656066116,-0.16686015505396012,0.5582185840666206,0.552340638213838
R1_nonlinear_Q:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R1_nonlinear_Q,raw,leave_one_year_out,extreme_high,56,4.235891980239509,3.5293300738543203,3.3387376555212143,-1.455705944567097,3.0430645629354385,2.9387658925802933,0.399856437308717,0.4247847087387642
R1_nonlinear_Q:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R1_nonlinear_Q,raw,leave_one_year_out,high,81,2.10353343261236,1.798382228766603,1.774225326065224,-6.418168053282386,0.9068193708925247,1.2376954904424622,0.2536445312803271,0.2724078236206734
R1_nonlinear_Q:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R1_nonlinear_Q,raw,leave_one_year_out,low,138,1.4772124739549308,1.1769072813475054,0.968853755027935,-7.313852356356641,-1.0798011204905977,-0.968853755027935,0.20624260519611487,0.21927397644318813
R1_nonlinear_Q:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R1_nonlinear_Q,raw,leave_one_year_out,mid,270,1.7434834589220096,1.30330422053477,1.0375964971316862,-0.9062539164550887,-0.35498198076895165,-0.1660501734709916,0.5581268074052864,0.5523918474378082
R1_nonlinear_Q:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R1_nonlinear_Q,raw,leave_one_year_out,extreme_high,56,5.210219106939742,4.565698384263136,4.186872940280189,-2.715340166363272,4.565698384263136,4.186872940280189,0.4060454244091855,0.4245676642764815
R1_nonlinear_Q:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R1_nonlinear_Q,raw,leave_one_year_out,high,81,2.06025283377791,1.690600517592297,1.5060559472594122,-6.116048023082169,1.4917788678022337,1.4871135173792842,0.2395249065725173,0.26358568025873325
R1_nonlinear_Q:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R1_nonlinear_Q,raw,leave_one_year_out,low,138,2.1837304648587854,1.9033436309126828,1.7514809245594654,-17.168306212318942,-1.5472648998768272,-1.7005189494000934,0.22119689680051857,0.2014806981720939
R1_nonlinear_Q:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R1_nonlinear_Q,raw,leave_one_year_out,mid,270,1.53837735578235,1.2414810926283908,1.106025027230424,-0.4841262392421446,-0.5941319974950444,-0.7276484903924638,0.48224885189150996,0.4809749243583749
R1_nonlinear_Q:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R1_nonlinear_Q,raw,leave_one_year_out,extreme_high,56,4.44081379777151,3.735614238216166,3.192357348600096,-1.6990550076487332,3.5575934986139512,3.192357348600096,0.41650857387185586,0.44039707788712257
R1_nonlinear_Q:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R1_nonlinear_Q,raw,leave_one_year_out,high,81,1.9533290852993563,1.6727591776478354,1.5915126557264365,-5.3965921914904245,1.0224974494913732,1.289815707306328,0.2553402428144916,0.26333031971719206
R1_nonlinear_Q:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R1_nonlinear_Q,raw,leave_one_year_out,low,138,1.7601217722493643,1.4597433656921601,1.2286761541357638,-10.803255420743815,-1.111967877954944,-1.0452859406969797,0.19936084269865814,0.2153318143062825
R1_nonlinear_Q:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R1_nonlinear_Q,raw,leave_one_year_out,mid,270,1.691432953347691,1.2834259197857392,1.006544373095704,-0.7941331103648999,-0.473143785099231,-0.35624024834254975,0.5495254133314061,0.5460152620783996
R1_nonlinear_Q:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R1_nonlinear_Q,raw,leave_one_year_out,extreme_high,56,4.256895792757883,3.5402959808368024,3.262418141309098,-1.4801197237977939,3.1568755882110557,3.0280275189090364,0.4002325635965909,0.4308581168863691
R1_nonlinear_Q:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R1_nonlinear_Q,raw,leave_one_year_out,high,81,2.056072998952651,1.7619398631850298,1.7149993801811103,-6.087203278704627,0.9227376045841063,1.3021955842512254,0.2558376515311798,0.2689291382644823
R1_nonlinear_Q:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R1_nonlinear_Q,raw,leave_one_year_out,low,138,1.5322415547902923,1.2134358366978832,0.9879882451505386,-7.944804394351458,-1.0685424880427195,-0.9675687036406417,0.2109416764995925,0.22330431182905267
R1_nonlinear_Q:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R1_nonlinear_Q,raw,leave_one_year_out,mid,270,1.7383467489457964,1.3078176886900494,1.0201841785446035,-0.8950379236847052,-0.38718185579998254,-0.19956377666766656,0.5567647929661506,0.5520657067117427
R2_river_specific_Q_slope:linear_regression:raw:leave_one_year_out,linear_regression,R2_river_specific_Q_slope,raw,leave_one_year_out,extreme_high,56,4.306333957069545,3.481316197558772,3.1343558832359264,-1.5380607978081287,3.3228836244947786,3.1343558832359264,0.387854589395654,0.3760743809999594
R2_river_specific_Q_slope:linear_regression:raw:leave_one_year_out,linear_regression,R2_river_specific_Q_slope,raw,leave_one_year_out,high,81,1.9555786666840294,1.6515402670223507,1.5832831602822814,-5.411334142409909,0.6119337787586047,0.6137143668876153,0.24968787103394324,0.26990123881836736
R2_river_specific_Q_slope:linear_regression:raw:leave_one_year_out,linear_regression,R2_river_specific_Q_slope,raw,leave_one_year_out,low,138,1.5389544578786634,1.1733020228315996,0.941205302069259,-8.023352241782069,-0.795902555430726,-0.7478229679095638,0.37385043348854036,0.3578355169725211
R2_river_specific_Q_slope:linear_regression:raw:leave_one_year_out,linear_regression,R2_river_specific_Q_slope,raw,leave_one_year_out,mid,270,1.745678324357204,1.3367230109245145,1.0085309873576804,-0.9110564907541203,-0.467362854252985,-0.3003167406582339,0.557496871915863,0.5599379429689085
R2_river_specific_Q_slope:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R2_river_specific_Q_slope,raw,leave_one_year_out,extreme_high,56,4.303038750067257,3.5095193513050913,3.126580219892401,-1.5341780353722565,3.346789401694107,3.126580219892401,0.3930177775291939,0.39273509356544745
R2_river_specific_Q_slope:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R2_river_specific_Q_slope,raw,leave_one_year_out,high,81,1.9405985280011777,1.6360039924951402,1.640926368196343,-5.313486049863669,0.6765831214569432,0.7184461079815563,0.23876748875392378,0.2661523237795467
