window_id,metric,river,analysis_cohort,n_years,year_min,year_max,value_mean,value_median,slope_ols_per_year,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,trend_direction,trend_strength,detectable_trend,confidence_caveat
common_overlap_w1_w2,window_end_doy,Yenisey,core_2003_2024,14,2007,2024,177.5,178.5,-0.1418234442836469,0.6332314874438054,0.01958597504287109,0.0,-0.011111797045680468,0.9562104024407778,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_peak_q_doy,Yenisey,core_2003_2024,14,2007,2024,151.71428571428572,153.0,0.005426917510853813,0.9866603041991867,2.4285132059309935e-05,0.0625,0.04469901562676742,0.8257210403822366,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_length_days,Yenisey,core_2003_2024,14,2007,2024,36.714285714285715,36.5,-0.08068017366136036,0.3987621043017262,0.05997226242161116,0.0,-0.1368493738462742,0.5256027206806414,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_flux_TgC,Yukon,core_2003_2024,20,2003,2024,0.5438878964032292,0.519698697071753,0.00039643851543002585,0.9576320102092141,0.00016119588984133554,0.0027139761976802787,0.06315789473684211,0.7246362205272814,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_fraction_of_annual,Yukon,core_2003_2024,20,2003,2024,0.37669257653806876,0.40083038685508704,-0.003950182209867624,0.35918791633568814,0.04688213213956991,-0.0019503440071181907,-0.12631578947368421,0.4605237944389165,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_start_doy,Yukon,core_2003_2024,20,2003,2024,146.95,140.5,0.06295399515738498,0.9327039251541085,0.00040721832430653507,0.0,-0.005392422499481168,0.9739573991050714,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_end_doy,Yukon,core_2003_2024,20,2003,2024,183.45,181.0,0.2191283292978208,0.7497167728396106,0.005796071519287086,0.20526315789473684,0.07447229936660008,0.6489802785457575,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_peak_q_doy,Yukon,core_2003_2024,20,2003,2024,159.05,154.0,-0.038740920096852295,0.9642609691619681,0.00011467164708922651,-0.4476190476190476,-0.11140936297356784,0.49498080415276413,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
common_overlap_w1_w2,window_length_days,Yukon,core_2003_2024,20,2003,2024,37.5,39.0,0.15617433414043583,0.6155722643190269,0.01429843087588092,0.0,0.07129310462392063,0.6695085659968565,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
discharge_centered_freshet,window_flux_TgC,Kolyma,core_2003_2024,3,2005,2016,0.3463123808921205,0.2780089179870898,0.006416818183351385,0.8134817550875965,0.0834104070250838,0.000834510545434496,0.33333333333333337,1.0,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
