river,year,window_id,start_date,end_date,peak_q_date,peak_Q_m3s,window_length_days,definition_status,fallback_used,snow_data_used,q_data_used,n_days_with_flux,n_days_expected,coverage_rate,window_confidence_tier,caveat_reason
Kolyma,2018,q75_peak_contiguous,2018-06-01,2018-07-11,2018-06-12,31640.0,41,ok,False,False,True,41,41,1.0,high,ok
Kolyma,2018,snow_depletion_assisted,2018-05-15,2018-07-26,2018-06-12,31640.0,73,partial_snow_rule_fallback,True,True,True,73,73,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2018,common_overlap_w1_w2,2018-06-01,2018-07-11,2018-06-12,31640.0,41,ok,False,False,True,41,41,1.0,high,ok
Kolyma,2019,fixed_may_july_reference,2019-05-01,2019-07-31,2019-05-31,27700.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2019,discharge_centered_freshet,2019-03-01,2019-07-06,2019-05-31,27700.0,128,ok,False,False,True,128,128,1.0,low,implausible_window_length
Kolyma,2019,q75_peak_contiguous,2019-05-25,2019-06-25,2019-05-31,27700.0,32,ok,False,False,True,32,32,1.0,high,ok
Kolyma,2019,snow_depletion_assisted,2019-05-09,2019-07-06,2019-05-31,27700.0,59,partial_snow_rule_fallback,True,True,True,59,59,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2019,common_overlap_w1_w2,2019-05-25,2019-06-25,2019-05-31,27700.0,32,ok,False,False,True,32,32,1.0,high,ok
Kolyma,2020,fixed_may_july_reference,2020-05-01,2020-07-31,2020-05-28,15000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2020,discharge_centered_freshet,2020-03-01,2020-08-19,2020-05-28,15000.0,172,ok,False,False,True,172,172,1.0,low,implausible_window_length
Kolyma,2020,q75_peak_contiguous,2020-05-25,2020-07-06,2020-05-28,15000.0,43,ok,False,False,True,43,43,1.0,high,ok
Kolyma,2020,snow_depletion_assisted,2020-05-03,2020-08-19,2020-05-28,15000.0,109,partial_snow_rule_fallback,True,True,True,109,109,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2020,common_overlap_w1_w2,2020-05-25,2020-07-06,2020-05-28,15000.0,43,ok,False,False,True,43,43,1.0,high,ok
Kolyma,2021,fixed_may_july_reference,2021-05-01,2021-07-31,2021-05-28,24200.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2021,discharge_centered_freshet,2021-03-01,2021-07-20,2021-05-28,24200.0,142,ok,False,False,True,142,142,1.0,low,implausible_window_length
Kolyma,2021,q75_peak_contiguous,2021-05-26,2021-07-01,2021-05-28,24200.0,37,ok,False,False,True,37,37,1.0,high,ok
Kolyma,2021,snow_depletion_assisted,2021-05-16,2021-07-20,2021-05-28,24200.0,66,partial_snow_rule_fallback,True,True,True,66,66,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2021,common_overlap_w1_w2,2021-05-26,2021-07-01,2021-05-28,24200.0,37,ok,False,False,True,37,37,1.0,high,ok
Kolyma,2022,fixed_may_july_reference,2022-05-01,2022-07-31,2022-05-27,19000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2022,discharge_centered_freshet,2022-03-01,2022-08-11,2022-05-27,19000.0,164,ok,False,False,True,164,164,1.0,low,implausible_window_length
Kolyma,2022,q75_peak_contiguous,2022-05-27,2022-06-24,2022-05-27,19000.0,29,ok,False,False,True,29,29,1.0,high,ok
Kolyma,2022,snow_depletion_assisted,2022-05-04,2022-08-11,2022-05-27,19000.0,100,partial_snow_rule_fallback,True,True,True,100,100,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2022,common_overlap_w1_w2,2022-05-27,2022-06-24,2022-05-27,19000.0,29,ok,False,False,True,29,29,1.0,high,ok
Kolyma,2023,fixed_may_july_reference,2023-05-01,2023-07-31,2023-05-29,23400.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2023,discharge_centered_freshet,2023-03-01,2023-08-24,2023-05-29,23400.0,177,ok,False,False,True,177,177,1.0,low,implausible_window_length
Kolyma,2023,q75_peak_contiguous,2023-05-28,2023-07-02,2023-05-29,23400.0,36,ok,False,False,True,36,36,1.0,high,ok
Kolyma,2023,snow_depletion_assisted,2023-04-21,2023-08-24,2023-05-29,23400.0,126,partial_snow_rule_fallback,True,True,True,126,126,1.0,low,fallback_used;implausible_window_length;partial_snow_rule_fallback
Kolyma,2023,common_overlap_w1_w2,2023-05-28,2023-07-02,2023-05-29,23400.0,36,ok,False,False,True,36,36,1.0,high,ok
Kolyma,2024,fixed_may_july_reference,2024-05-01,2024-07-31,2024-05-29,21500.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2024,discharge_centered_freshet,2024-03-23,2024-08-28,2024-05-29,21500.0,159,ok,False,False,True,159,159,1.0,low,implausible_window_length
Kolyma,2024,q75_peak_contiguous,2024-05-28,2024-06-12,2024-05-29,21500.0,16,ok,False,False,True,16,16,1.0,high,ok
Kolyma,2024,snow_depletion_assisted,2024-04-29,2024-08-28,2024-05-29,21500.0,122,partial_snow_rule_fallback,True,True,True,122,122,1.0,low,fallback_used;implausible_window_length;partial_snow_rule_fallback
Kolyma,2024,common_overlap_w1_w2,2024-05-28,2024-06-12,2024-05-29,21500.0,16,ok,False,False,True,16,16,1.0,high,ok
Kolyma,2025,fixed_may_july_reference,2025-05-01,2025-07-31,2025-05-31,28500.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2025,discharge_centered_freshet,2025-03-01,2025-07-27,2025-05-31,28500.0,149,ok,False,False,True,149,149,1.0,low,implausible_window_length
Kolyma,2025,q75_peak_contiguous,2025-05-28,2025-07-02,2025-05-31,28500.0,36,ok,False,False,True,36,36,1.0,high,ok
Kolyma,2025,snow_depletion_assisted,2025-05-12,2025-06-01,2025-05-31,28500.0,21,ok,False,True,True,21,21,1.0,high,ok
Kolyma,2025,common_overlap_w1_w2,2025-05-28,2025-07-02,2025-05-31,28500.0,36,ok,False,False,True,36,36,1.0,high,ok
Lena,2000,fixed_may_july_reference,2000-05-01,2000-07-31,2000-05-29,132000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2000,discharge_centered_freshet,2000-03-01,2000-08-23,2000-05-29,132000.0,176,ok,False,False,True,176,176,1.0,low,implausible_window_length
Lena,2000,q75_peak_contiguous,2000-05-24,2000-07-07,2000-05-29,132000.0,45,ok,False,False,True,45,45,1.0,high,ok
Lena,2000,snow_depletion_assisted,2000-04-25,2000-08-23,2000-05-29,132000.0,121,partial_snow_rule_fallback,True,True,True,121,121,1.0,low,fallback_used;implausible_window_length;partial_snow_rule_fallback
Lena,2000,common_overlap_w1_w2,2000-05-24,2000-07-07,2000-05-29,132000.0,45,ok,False,False,True,45,45,1.0,high,ok
Lena,2001,fixed_may_july_reference,2001-05-01,2001-07-31,2001-06-06,149000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2001,discharge_centered_freshet,2001-03-01,2001-07-28,2001-06-06,149000.0,150,ok,False,False,True,150,150,1.0,low,implausible_window_length
Lena,2001,q75_peak_contiguous,2001-05-27,2001-07-08,2001-06-06,149000.0,43,ok,False,False,True,43,43,1.0,high,ok
Lena,2001,snow_depletion_assisted,2001-05-05,2001-07-28,2001-06-06,149000.0,85,partial_snow_rule_fallback,True,True,True,85,85,1.0,medium,fallback_used;partial_snow_rule_fallback
Lena,2001,common_overlap_w1_w2,2001-05-27,2001-07-08,2001-06-06,149000.0,43,ok,False,False,True,43,43,1.0,high,ok
Lena,2002,fixed_may_july_reference,2002-05-01,2002-07-31,2002-05-31,122000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2002,discharge_centered_freshet,2002-04-16,2002-08-16,2002-05-31,122000.0,123,ok,False,False,True,123,123,1.0,low,implausible_window_length
Lena,2002,q75_peak_contiguous,2002-05-29,2002-07-10,2002-05-31,122000.0,43,ok,False,False,True,43,43,1.0,high,ok
Lena,2002,snow_depletion_assisted,2002-05-16,2002-08-16,2002-05-31,122000.0,93,partial_snow_rule_fallback,True,True,True,93,93,1.0,medium,fallback_used;partial_snow_rule_fallback
Lena,2002,common_overlap_w1_w2,2002-05-29,2002-07-10,2002-05-31,122000.0,43,ok,False,False,True,43,43,1.0,high,ok
Lena,2003,fixed_may_july_reference,2003-05-01,2003-07-31,2003-06-10,95700.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2003,discharge_centered_freshet,2003-03-01,2003-07-10,2003-06-10,95700.0,132,ok,False,False,True,132,132,1.0,low,implausible_window_length
Lena,2003,q75_peak_contiguous,2003-06-07,2003-07-13,2003-06-10,95700.0,37,ok,False,False,True,37,37,1.0,high,ok
Lena,2003,snow_depletion_assisted,2003-05-10,2003-07-10,2003-06-10,95700.0,62,partial_snow_rule_fallback,True,True,True,62,62,1.0,medium,fallback_used;partial_snow_rule_fallback
Lena,2003,common_overlap_w1_w2,2003-06-07,2003-07-10,2003-06-10,95700.0,34,ok,False,False,True,34,34,1.0,high,ok
Lena,2004,fixed_may_july_reference,2004-05-01,2004-07-31,2004-06-06,117000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2004,discharge_centered_freshet,2004-03-01,2004-07-06,2004-06-06,117000.0,128,ok,False,False,True,128,128,1.0,low,implausible_window_length
Lena,2004,q75_peak_contiguous,2004-06-04,2004-07-19,2004-06-06,117000.0,46,ok,False,False,True,46,46,1.0,high,ok
Lena,2004,snow_depletion_assisted,2004-05-10,2004-07-06,2004-06-06,117000.0,58,partial_snow_rule_fallback,True,True,True,58,58,1.0,medium,fallback_used;partial_snow_rule_fallback
Lena,2004,common_overlap_w1_w2,2004-06-04,2004-07-06,2004-06-06,117000.0,33,ok,False,False,True,33,33,1.0,high,ok
Lena,2005,fixed_may_july_reference,2005-05-01,2005-07-31,2005-06-02,108000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2005,discharge_centered_freshet,2005-03-01,2005-08-21,2005-06-02,108000.0,174,ok,False,False,True,174,174,1.0,low,implausible_window_length
Lena,2005,q75_peak_contiguous,2005-05-27,2005-07-02,2005-06-02,108000.0,37,ok,False,False,True,37,37,1.0,high,ok
Lena,2005,snow_depletion_assisted,2005-04-22,2005-08-21,2005-06-02,108000.0,122,partial_snow_rule_fallback,True,True,True,122,122,1.0,low,fallback_used;implausible_window_length;partial_snow_rule_fallback
Lena,2005,common_overlap_w1_w2,2005-05-27,2005-07-02,2005-06-02,108000.0,37,ok,False,False,True,37,37,1.0,high,ok
Lena,2006,fixed_may_july_reference,2006-05-01,2006-07-31,2006-06-05,127000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2006,discharge_centered_freshet,2006-03-01,2006-08-22,2006-06-05,127000.0,175,ok,False,False,True,175,175,1.0,low,implausible_window_length
Lena,2006,q75_peak_contiguous,2006-05-31,2006-07-15,2006-06-05,127000.0,46,ok,False,False,True,46,46,1.0,high,ok
Lena,2006,snow_depletion_assisted,2006-05-10,2006-08-22,2006-06-05,127000.0,105,partial_snow_rule_fallback,True,True,True,105,105,1.0,medium,fallback_used;partial_snow_rule_fallback
Lena,2006,common_overlap_w1_w2,2006-05-31,2006-07-15,2006-06-05,127000.0,46,ok,False,False,True,46,46,1.0,high,ok
Lena,2007,fixed_may_july_reference,2007-05-01,2007-07-31,2007-06-02,106000.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Lena,2007,discharge_centered_freshet,2007-03-01,2007-08-25,2007-06-02,106000.0,178,ok,False,False,True,178,178,1.0,low,implausible_window_length
