table_name,year,row_count
optical_timeseries_gold.csv,2013,315
optical_timeseries_gold.csv,2014,391
optical_timeseries_gold.csv,2015,365
optical_timeseries_gold.csv,2016,5292
optical_timeseries_gold.csv,2017,7700
optical_timeseries_gold.csv,2018,17853
optical_timeseries_gold.csv,2019,19515
optical_timeseries_gold.csv,2020,18119
optical_timeseries_gold.csv,2021,4622
optical_timeseries_gold.csv,2022,17793
optical_timeseries_gold.csv,2023,19580
optical_timeseries_gold.csv,2024,20883
optical_timeseries_gold.csv,2025,8025
lab_optical_proxy_gold.csv,2009,58
lab_optical_proxy_gold.csv,2010,62
lab_optical_proxy_gold.csv,2011,60
lab_optical_proxy_gold.csv,2012,47
lab_optical_proxy_gold.csv,2013,68
lab_optical_proxy_gold.csv,2014,70
lab_optical_proxy_gold.csv,2015,72
lab_optical_proxy_gold.csv,2016,74
lab_optical_proxy_gold.csv,2017,70
lab_optical_proxy_gold.csv,2018,69
lab_optical_proxy_gold.csv,2019,52
lab_optical_proxy_gold.csv,2020,62
lab_optical_proxy_gold.csv,2021,74
lab_optical_proxy_gold.csv,2022,20
lab_optical_proxy_gold.csv,2023,24
