model_role,scope,group_type,group_value,feature_set,model_id,target_scale,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags,log_target_status,decision_note
primary_baseline,month,month,4,F3_q_season_river_fixed,ridge_alpha_1,raw,29,1.852839822703125,1.3835095441413898,-0.2555625087627844,-0.2746155770457887,-3.85799096266084,2.8537493191992453,,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,5,F3_q_season_river_fixed,ridge_alpha_1,raw,33,4.202200659656029,3.3718906881559074,0.9496088230892356,0.3609228090780281,-4.960720719199738,8.267419873901472,systematic_positive_bias;high_rmse_relative_to_overall,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,6,F3_q_season_river_fixed,ridge_alpha_1,raw,113,2.436756907091911,1.7741078420156062,0.3239395855703838,0.0391328296383788,-2.837424916004858,4.750735313319471,,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,7,F3_q_season_river_fixed,ridge_alpha_1,raw,47,2.131797511556928,1.667729711211673,-0.398944398328264,-0.6839325722525276,-3.338227100721661,2.7090204278656174,,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,8,F3_q_season_river_fixed,ridge_alpha_1,raw,67,2.146908566832291,1.6460792702087437,-0.4900758213445563,-0.5395729526142805,-3.530133133615189,2.9213894401580207,,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,9,F3_q_season_river_fixed,ridge_alpha_1,raw,50,1.7734330449723883,1.4074252363773956,-0.0846807733775042,-0.1047072084418516,-3.007976216073195,2.909654329530022,,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,10,F3_q_season_river_fixed,ridge_alpha_1,raw,35,1.4472428626759917,1.0381150019435883,-0.3204391475428119,-0.0440255228674901,-2.797434769392709,1.3432116246315475,,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,11,F3_q_season_river_fixed,ridge_alpha_1,raw,28,2.178043530182081,1.801259918884974,1.4455986631552251,1.4781986770062838,-0.7735949039757986,3.581968435947348,systematic_positive_bias,not_log_target,Comparator for log-target bias review.
primary_baseline,month,month,12,F3_q_season_river_fixed,ridge_alpha_1,raw,26,1.90158085160824,1.5226923443284628,0.6606962216390866,0.6009912523065122,-2.4500760400756985,3.522548269608186,systematic_positive_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,1,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,25,1.442949875259182,1.2299859574767849,-0.8000344057312535,-1.1833645457720552,-2.332071581373572,0.6852863658906352,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,2,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,25,1.7194021468235934,1.459471973548558,-0.655271008105394,-0.935065800205142,-2.7456283584824943,1.8888545354244437,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,3,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,33,1.759589641640246,1.29779226911658,-0.5346942605881997,-0.6216955860401598,-3.744363812356999,1.7050532144746189,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,4,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,29,1.837300451035584,1.4131848153142,0.0037503538178197,0.1473921714019308,-3.5547518117725043,3.0274621972895046,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,5,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,33,4.226506018860363,3.387809003402378,1.1075059249733208,0.7397616713525661,-4.7643933054707786,8.32579233692235,systematic_positive_bias;high_rmse_relative_to_overall,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,6,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,113,2.4760927940241,1.8173293527878531,0.2924989988103553,0.0636298139655746,-2.9011216360096714,4.899834478016149,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,7,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,47,2.145851305299709,1.6998436530526866,-0.5289026581664699,-0.8587788971663262,-3.3625063637140555,2.6282424029646902,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,8,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,67,2.157401626361138,1.6671504105812365,-0.5502106065894538,-0.6310429549502681,-3.532792269173308,2.832326469047178,systematic_negative_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,9,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,50,1.7182865770699105,1.354163988661706,0.0603865453842953,0.016705866533814,-2.758891511307312,3.02538553137437,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,10,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,35,1.3750543773111417,1.0442730301277228,-0.0498265051981379,0.1262085612004835,-2.41691256635563,1.607176472649403,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,11,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,28,2.046719343148492,1.655309445876764,1.3154983682296617,1.0249403584783927,-0.5219343765570866,3.4916890868849046,systematic_positive_bias,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,month,month,12,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,26,1.9423072847940783,1.5528580047456635,0.5014047233473229,0.4914725073339023,-2.7097303658155623,3.4460571594373963,systematic_positive_bias,not_log_target,Comparator for log-target bias review.
log_target_sensitivity,month,month,1,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,25,1.27186595911251,1.0524098722775004,-0.4206125277867978,-0.7719203578792451,-1.7886081312700552,1.2213891737077622,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
log_target_sensitivity,month,month,2,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,25,1.2342281042870054,1.0208801982909863,-0.2751670752662328,-0.3881941101195183,-1.7599607086497844,1.8191192984611435,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
