model_role,feature_set,model_id,target_scale,validation_scheme,group_type,group_value,n,rmse,mae,bias_mean,bias_median,residual_std,p05_residual,p25_residual,p50_residual,p75_residual,p95_residual,river,year,month,doc_quantile,q_quantile,season_window
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2022,10,2.1707829275197104,1.493251801835781,0.7214854560615455,0.4909532871419575,2.1581260531362,-1.4479260022987026,-0.6091372689622503,0.4909532871419575,1.2104258297538728,4.0698978381900695,,2022.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2023,12,1.5730706314965384,1.234101541880025,0.8575129173686363,0.8731921145476884,1.3774374659514468,-0.964332052941919,0.10797467580258324,0.8731921145476884,1.3948386300657285,2.768023349896092,,2023.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2024,6,0.949986851344152,0.7706841892604558,-0.7215534654598121,-0.6573364606899637,0.6769067417685052,-1.6437420675257641,-0.8641337689559082,-0.6573364606899637,-0.4233978517317982,0.021998424220037727,,2024.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2003,5,2.1247835439931055,1.5928076874401653,-0.2970823412984519,-0.13792381043999224,2.3522455205910506,-2.896590550209992,-1.2880840981920803,-0.13792381043999224,0.07576040049839072,2.545994451984392,,2003.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2004,41,2.1185080640348133,1.679577742609685,-0.5203013224561268,-0.892400947516276,2.0791337198486564,-3.2086359166355436,-2.006544093478386,-0.892400947516276,0.8563792623369153,2.3938093891730405,,2004.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2005,41,1.79134909754251,1.272133007779798,0.3443184674577008,-0.01672345801198638,1.7797853218267063,-1.8984814195234971,-0.9858679672795159,-0.01672345801198638,1.0609026323789186,3.2413761537032784,,2005.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2006,10,2.2688308367571706,2.0113556265241295,1.1326488175996476,1.7504068742910408,2.072223717494047,-1.6806935204623465,-0.731717599998898,1.7504068742910408,2.82249803069752,3.3646684611746034,,2006.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2007,1,1.693603935447694,1.693603935447694,1.693603935447694,1.693603935447694,,1.693603935447694,1.693603935447694,1.693603935447694,1.693603935447694,1.693603935447694,,2007.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2009,27,2.821489201859103,2.0938518538552624,0.04282806667779965,-0.4865178879164471,2.8749054229837,-3.7537155762067043,-1.6001201712968136,-0.4865178879164471,1.3895371098812297,6.228367402833447,,2009.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2010,29,3.1134350372674,2.381730141918983,1.7698005130013483,2.1069212803405613,2.606840125984962,-1.3826651366882798,-0.28380983132568005,2.1069212803405613,3.1005967328120496,5.646862948865155,,2010.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2011,29,3.5134448880086557,2.4086523261463246,2.2267715579089926,1.2653404172747527,2.765784045960371,-0.4406437200369964,0.20049973311415492,1.2653404172747527,3.603356932227922,7.6744090871327835,,2011.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2012,21,1.7296322145877243,1.21569908778192,0.16875168066985152,-0.12397118715541211,1.7638900168126337,-1.8768162424701744,-0.9523414080737949,-0.12397118715541211,0.7092956653216529,3.2788445248077585,,2012.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2013,30,2.2142936021934947,1.5174978513326765,0.1118846360047067,0.002800962757825154,2.2492706829351423,-3.3962760968936467,-0.8498859706954698,0.002800962757825154,0.7290821826699545,3.536724881504475,,2013.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2014,31,2.5612289388126785,1.6184572898351666,0.749907609025007,0.11855349778163138,2.4894678139653017,-1.839515220442934,-0.63628892024163,0.11855349778163138,1.5044859352326645,4.886881925404473,,2014.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2015,33,1.8090778008417228,1.3102664393452264,-0.2234778930547624,-0.4049402640711772,1.8230560193229304,-2.7549423802771855,-1.2286386686888942,-0.4049402640711772,0.28508442917048527,3.146401598970067,,2015.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2016,34,1.6922800344073587,1.2310000678746027,-0.43332999239637454,-0.2305699058208528,1.660460435473282,-3.2037109880893726,-1.060633197576117,-0.2305699058208528,0.47836879774821794,1.80931186780227,,2016.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2017,32,2.051951802081665,1.3687304432467517,-0.05406494392572131,0.39103780092240736,2.0840613401670405,-4.528025477390084,-0.2480377504203981,0.39103780092240736,1.010030572157958,2.577964386155673,,2017.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2018,32,1.895865154671975,1.4644617678683565,-0.08556564824497764,0.06356985856526487,1.924238119404697,-3.7944169250362876,-1.0511342923155538,0.06356985856526487,1.107982471476305,2.645754029821763,,2018.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2019,24,2.0665783023967794,1.534185184998831,0.397222431652525,-0.11359648348436058,2.0716622739019845,-1.8111551128007484,-0.9720992346376798,-0.11359648348436058,1.1900754853260351,3.933860535543359,,2019.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2020,29,1.5596838089422203,1.1739585150088296,0.12236775086290044,0.05660938412071559,1.582398177781938,-1.494582992103799,-1.071345743905411,0.05660938412071559,0.925486532847108,2.7287677216137878,,2020.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2021,34,1.7790717614266132,1.4490807381694235,-0.369449260720645,-0.4979975943865982,1.7664595783656443,-3.3093340073081627,-1.6808095211894822,-0.4979975943865982,0.9497064899824648,2.0419604334237382,,2021.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2022,10,2.5142113332599765,1.5773404961568647,1.0333333354200547,0.8284302918646231,2.4160299957213036,-1.0846298238591852,-0.36106970490148604,0.8284302918646231,1.135381798624148,4.735382215291862,,2022.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2023,12,1.985294217986291,1.3293286686307593,1.1668971116862628,0.8041274234472111,1.6775775595807152,-0.3924597004089385,0.05078903350133479,0.8041274234472111,1.4343903875623634,3.9357124716303535,,2023.0,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,year,2024,6,0.7163731785820739,0.5869023977992641,-0.5844628998524496,-0.6840073129611757,0.45377569307469456,-1.0760104712177148,-0.8730103118283713,-0.6840073129611757,-0.23634477677886256,-0.016493987258780707,,2024.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2003,5,2.257730104561956,1.8121611218310203,-0.892221939463262,-0.8801122642065069,2.318751074335535,-3.704510520872228,-1.6669429839185521,-0.8801122642065069,0.27476518493579505,1.6750192537740394,,2003.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2004,42,2.3058658608889573,1.9795417880257222,-0.7590477470471305,-1.1438565866218677,2.2037456097758827,-3.345404527193672,-2.719101207834101,-1.1438565866218677,0.9737840927571642,2.891935602780465,,2004.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2005,42,1.752457980183849,1.4498659342384979,-0.0806299693011338,-0.22160789741735165,1.7718223137743976,-2.347342784463617,-1.5088125017029097,-0.22160789741735165,1.0968877092527693,2.662976781380272,,2005.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2006,11,2.186456026479089,1.779846670295977,1.0483527606610006,0.4433172619023811,2.0123869134526053,-1.420287287418983,-0.5160440171569978,0.4433172619023811,2.773139957216491,3.6492748302497064,,2006.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2007,1,1.9837131278013378,1.9837131278013378,1.9837131278013378,1.9837131278013378,,1.9837131278013378,1.9837131278013378,1.9837131278013378,1.9837131278013378,1.9837131278013378,,2007.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2009,28,2.6677188932013975,2.0842139940013396,-0.18337694684620484,-0.012858534153289192,2.7102460984215786,-3.6400747549975194,-2.509125149325655,-0.012858534153289192,1.0632848619879482,5.380538146923833,,2009.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2010,30,2.8820359982858132,2.3005089734263082,1.3984818057925523,1.0948061865565077,2.563076034690073,-1.8797012541285414,-0.8426757165892089,1.0948061865565077,2.753418313230187,5.300711527124122,,2010.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2011,30,3.3400849243579382,2.250290764434534,1.9124279989463655,0.9049907618052417,2.7852047131044326,-0.7866157937701244,0.08556271117621206,0.9049907618052417,2.97580617432294,7.394515146219651,,2011.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2012,23,1.7887736099800469,1.3184981224779144,-0.09110529667801719,-0.20048515467789496,1.8266020317369225,-2.172395213105018,-1.0979424024879003,-0.20048515467789496,0.9303504378282967,1.9879981209360014,,2012.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2013,33,2.3117812766090715,1.7881198130515565,0.005449080960687498,-0.6044134585860306,2.3476184627131933,-2.8763453836684247,-1.3654656487226804,-0.6044134585860306,1.2838828252539933,4.048262089667723,,2013.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2014,35,2.6478724846112196,1.7756519218303233,0.47750316485529537,-0.2982300634014976,2.6424847919925387,-2.066988062256724,-0.8694037043501508,-0.2982300634014976,1.477977078334265,4.894323891695287,,2014.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2015,36,1.9651657562615739,1.6289519633118001,-0.3744374857189228,-0.5782101993623705,1.9565292059400798,-2.934936353275778,-1.6137712644592033,-0.5782101993623705,0.9115706402507966,2.721605977997338,,2015.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2016,37,1.9937952990855208,1.5903295024586037,-0.6458472109729015,-0.7573770471787551,1.9123120079366964,-3.874092658971172,-1.6566793160565423,-0.7573770471787551,0.6015090234252964,2.98260166981565,,2016.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2017,35,2.246377268638058,1.633956840001499,-0.2045346297672317,0.2097218283163782,2.269705698982552,-4.915679901100896,-1.0974808575455453,0.2097218283163782,1.0786222058986386,3.080856727322586,,2017.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2018,35,2.070611287962595,1.6657644275489407,-0.283742079712015,-0.1489607062367293,2.0810224709146525,-3.9517848385322507,-2.00475401586277,-0.1489607062367293,1.1670009781156603,2.6791978222138475,,2018.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2019,26,2.2148607323739578,1.7221759425196486,-0.18654513285013793,-0.3996044318149874,2.250697966478601,-2.9857649950232963,-1.7776611698331817,-0.3996044318149874,0.8935129473281096,3.3505293864581644,,2019.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2020,31,1.7359368590917745,1.3781608839264898,-0.24877468779194903,-0.30967902277197235,1.7464175325266145,-2.890632576223524,-1.2411206847643563,-0.30967902277197235,0.8558981588928711,2.4512617947317903,,2020.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2021,37,1.9667798384037045,1.5792011983632355,-0.7627624291459458,-0.5766638865091913,1.837853572551741,-3.7296312380408803,-1.9999254709828946,-0.5766638865091913,0.3885186771293836,2.078537775502165,,2021.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2022,10,2.2660846553129717,1.5508673794930055,0.75851775554948,0.48294893091442903,2.25087402272517,-1.5030996646707258,-0.6689732370680533,0.48294893091442903,1.2400289584297237,4.297790007522371,,2022.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2023,12,1.6063298656323735,1.2637241421862944,0.9194188170755199,1.0558845471531237,1.3757502453160753,-0.8824917860540065,0.07513389030005313,1.0558845471531237,1.390767258107314,2.982009347484724,,2023.0,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2024,6,1.0288018842787083,0.780090474024114,-0.7720977633183198,-0.654333125975286,0.7448208060796385,-1.8130763802155985,-1.0227684635521181,-0.654333125975286,-0.27683454104922767,-0.031572904678109914,,2024.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,month,1,25,1.442949875259182,1.2299859574767849,-0.8000344057312535,-1.1833645457720552,1.2256160407443788,-2.332071581373572,-1.6793571220819725,-1.1833645457720552,0.08424001224798161,0.6852863658906352,,,1.0,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,month,2,25,1.7194021468235934,1.459471973548558,-0.655271008105394,-0.935065800205142,1.6224222016652685,-2.7456283584824943,-1.6549683874222838,-0.935065800205142,0.5105909888473814,1.8888545354244435,,,2.0,,,
