river,year,annual_flux_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,may_july_flux_TgC,may_july_flux_90_lower_TgC,may_july_flux_90_upper_TgC,may_july_flux_fraction_of_annual,annual_confidence_tier,may_july_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Lena,2008,7.476925346513558,4.847891855441296,11.099409728828707,4.382385806603096,3.058786643914672,6.20614245008681,0.5861213805814678,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2009,7.193357622149724,4.685701580535355,10.648598826879052,4.881960497955924,3.4369172991735923,6.873052067209668,0.6786761835562622,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2010,5.670996581843936,3.5864486825945834,8.545315808615596,3.973948571227969,2.742699715756331,5.67251481735817,0.700749597337234,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2011,4.906607670787668,2.997043920788726,7.538197901415353,3.1531039697060708,2.123521199784452,4.5721272607783385,0.6426240248387123,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2012,6.850384360073212,4.3876323481875215,10.243753341817351,4.381777396411676,3.0322743676479544,6.241226377257393,0.6396396415287926,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2013,7.236421063511426,4.701146217011222,10.729717580087064,4.466697827984471,3.1341061401023733,6.302845063745645,0.6172523390750614,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2014,6.78379058734266,4.439468234538528,10.013978083615925,4.827657386717704,3.4234051611574734,6.762544018324866,0.7116459926881071,high,medium,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2015,6.517510777279808,4.263497548369036,9.623263422496525,5.063632074478358,3.58300264687795,7.103757084559969,0.776927303615714,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2016,6.834065842591718,4.402699059865969,10.184278313447514,4.494119652166622,3.124359304061578,6.381480724353395,0.6576055536600294,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2017,6.445062408865316,4.15710564344693,9.597585067205454,4.345007757799754,3.0474373111291544,6.132900036076076,0.6741606957634897,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2018,7.131941414940964,4.575935205113561,10.65425512973646,3.991734874557026,2.7555789998104663,5.695457368639787,0.5596982143171557,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2019,4.423662754833697,2.700880038573888,6.7974451752426175,3.113550484209125,2.096792528268044,4.514517732629014,0.70383993011379,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Lena,2020,6.186729927596507,4.03704479131766,9.151540388453745,4.691017104138124,3.3260184124164707,6.57423115839864,0.7582385458937506,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
