analysis_cohort,river,metric,metric_unit,n_years,year_min,year_max,value_mean,value_median,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_ols_standard_error,slope_theilsen_per_year,theilsen_ci_lower,theilsen_ci_upper,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,trend_strength,detectable_trend,trend_language
high_confidence_only_sensitivity,Yenisey,may_july_flux_TgC,TgC_per_year,6,2009,2022,2.5772826324994926,2.680713651324975,-0.006919032117512471,16.526051381404635,0.8784337656770733,0.006597138175588309,0.042452206109679244,0.006446682452185604,-0.06232263028944701,0.11736787749098258,0.2,0.7194444444444444,-0.2684622955303228,-3.4900098418941963,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Yenisey,may_july_flux_fraction_of_annual,fraction_per_year,6,2009,2022,0.7742865471663868,0.7827817069522209,-0.009037532689070683,18.993952448332884,0.04146595445527636,0.6868717383737483,0.0030510069379415827,-0.007988075382789922,-0.019192003823918852,-0.003504412816642869,-0.8666666666666666,0.016666666666666666,-1.16720776334612,-15.173700923499558,decreasing,moderate,True,detectable trend
high_confidence_only_sensitivity,Yukon,may_july_flux_TgC,TgC_per_year,24,2002,2025,0.8512060433540029,0.8242963817772575,0.003604666861550255,-6.406790682377436,0.5590376822470149,0.015747733258165048,0.006075723207819124,0.005816377807863812,-0.004345495826784425,0.014328684791610044,0.13768115942028986,0.3626613999876752,0.42347759272793745,9.739984632742562,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Yukon,may_july_flux_fraction_of_annual,fraction_per_year,24,2002,2025,0.605915691703811,0.6007195946829594,-0.005485907645767919,11.651790736457516,0.015204947260756071,0.23955673265375446,0.0020838495989349585,-0.004569608536621075,-0.007837666429636774,-0.0008119068815994732,-0.34057971014492755,0.019867880493143635,-0.9053912484658986,-20.823998714715664,decreasing,weak,True,detectable trend
core_excluding_yenisey_sensitivity,Kolyma,may_july_flux_TgC,TgC_per_year,19,2003,2024,0.5540821376176366,0.511302989160028,-0.002085271886805437,4.753161210732164,0.7454051126421455,0.006366477854628204,0.006318321614758174,-0.00022442985623041372,-0.009283932154313628,0.010164665951665501,-0.017543859649122806,0.945006868714699,-0.3763470693661759,-7.903288456689694,flat_or_uncertain,not_detected,False,no detectable trend
core_excluding_yenisey_sensitivity,Kolyma,may_july_flux_fraction_of_annual,fraction_per_year,19,2003,2024,0.7016389725905823,0.693663872953109,-0.0018197377746677248,4.366016196737275,0.5515626177848828,0.021246420980276255,0.0029955608090669965,-0.0030027370822359512,-0.009176704647128341,0.004808812324645126,-0.12280701754385964,0.48933805877747416,-0.25935528751330794,-5.446461037779467,flat_or_uncertain,not_detected,False,no detectable trend
core_excluding_yenisey_sensitivity,Lena,may_july_flux_TgC,TgC_per_year,22,2003,2024,4.147353924237972,4.363392577105715,-0.013484009041454798,31.297406129207207,0.5229538977199993,0.02070127180132682,0.020737820865529645,-0.005925227605431147,-0.055846856207248614,0.025719274794585727,-0.09090909090909091,0.5770090763883768,-0.3251231818594389,-6.827586819048216,flat_or_uncertain,not_detected,False,no detectable trend
core_excluding_yenisey_sensitivity,Lena,may_july_flux_fraction_of_annual,fraction_per_year,22,2003,2024,0.6606004615940134,0.6615126490276664,0.0009054538144966704,-1.1625307938950322,0.6647111145295067,0.009583814411220023,0.002058216103587262,0.001453568779575698,-0.003010089985176125,0.005060365976256861,0.07359307359307359,0.6555978590524786,0.13706527124002177,2.878370696040457,flat_or_uncertain,not_detected,False,no detectable trend
core_excluding_yenisey_sensitivity,Mackenzie,may_july_flux_TgC,TgC_per_year,22,2003,2024,0.7754859097615509,0.787613173742982,-0.006846181091881077,14.5602715382641,0.27600419438946083,0.05901353890289095,0.006112927468135011,-0.010948862665024412,-0.02125421512984017,0.006858407805932572,-0.16017316017316016,0.31397950542939346,-0.8828246916808798,-18.539318525298476,flat_or_uncertain,not_detected,False,no detectable trend
core_excluding_yenisey_sensitivity,Mackenzie,may_july_flux_fraction_of_annual,fraction_per_year,22,2003,2024,0.5119224077411066,0.5200833836697474,-0.0010425263684243884,2.611049250563613,0.44277077943027277,0.02974654151907667,0.0013313627763858586,-0.0011178005516502174,-0.002964611375914389,0.0008937052570350934,-0.1341991341991342,0.4020304086977944,-0.2036492938499428,-4.276635170848799,flat_or_uncertain,not_detected,False,no detectable trend
core_excluding_yenisey_sensitivity,Ob,may_july_flux_TgC,TgC_per_year,22,2003,2024,2.230793237006594,2.2678824168176646,0.008990635555701823,-15.871851454399028,0.41538118859680273,0.03343246787197379,0.010809541644689533,0.01080630820111596,-0.009982903523798936,0.033093334372835424,0.14285714285714285,0.3711989339777388,0.4030241533171389,8.463507219659919,flat_or_uncertain,not_detected,False,no detectable trend
core_excluding_yenisey_sensitivity,Ob,may_july_flux_fraction_of_annual,fraction_per_year,22,2003,2024,0.5445741109992176,0.5499824147730665,-0.001327483955619851,3.217463055639788,0.4532064603455458,0.028429139930397383,0.0017352804050838587,-0.0022224064675343052,-0.005286041629113088,0.001348657743680004,-0.1774891774891775,0.26275316600189397,-0.24376552774132118,-5.119076082567744,flat_or_uncertain,not_detected,False,no detectable trend
