model_id,feature_set,validation_scheme,season_window,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
ridge_alpha_1,F1_season_only,leave_one_year_out,late_season,87,18,,2.2489558271525696,1.801377497471607,1.4909262226489899,-0.0887952137110144,-0.15352354041217742,-0.2175931314038717,-0.17782416664264425,-0.06757654470363306
ridge_alpha_1,F1_season_only,leave_one_year_out,spring_freshet_provisional,193,20,,4.300305577419168,3.373680855367858,2.8117908735571264,-0.06683136165913361,0.9231692207312496,0.5442134220614161,-0.22038696274636843,-0.13338950122197568
ridge_alpha_1,F1_season_only,leave_one_year_out,summer,114,20,,3.286653566780691,2.8939444259592406,2.9058690861371237,-0.20985118540241943,-1.3933258926284917,-2.2186374586091184,0.059510162386378615,0.08783462358308687
ridge_alpha_1,F1_season_only,river_year_groupkfold,early_season,146,5,,4.5440417368128925,3.4970543801643883,2.7413759333801875,-0.1516934649492887,1.5893011117108948,1.4107909918031019,-0.05510702668262616,-0.03264223903352079
ridge_alpha_1,F1_season_only,river_year_groupkfold,late_season,87,5,,2.273921204086704,1.8257742700556252,1.5052888956239423,-0.11310254388462337,-0.15308282829921577,-0.3412638874569067,-0.20469627606670676,-0.10269521959186854
ridge_alpha_1,F1_season_only,river_year_groupkfold,spring_freshet_provisional,193,5,,4.312962514926487,3.3839299381168346,2.8159074395287416,-0.07312053753994618,0.8794295061797262,0.6431743471045426,-0.1839489407600406,-0.15348244523124627
ridge_alpha_1,F1_season_only,river_year_groupkfold,summer,114,5,,3.326908291636849,2.9085926955321204,2.9185968924525953,-0.23966903902400705,-1.402857145984263,-2.223298957177967,-0.033645734635585775,-0.02013998218497155
ridge_alpha_1,F2_q_season,leave_one_river_out,early_season,146,6,,3.9161319058854596,2.9502824438104738,2.264551432482002,0.14460461603611963,1.0147519942401364,0.5497408630834637,0.490709266489477,0.4589483612953234
ridge_alpha_1,F2_q_season,leave_one_river_out,late_season,87,6,,2.2789483991127364,1.8100913188796446,1.498808577117515,-0.11802968837275474,-0.019144254389788073,-0.31460866806176124,0.25999098281608696,0.2773962159139068
ridge_alpha_1,F2_q_season,leave_one_river_out,spring_freshet_provisional,193,6,,3.7119543854171884,2.8537963213026187,2.3068534260397673,0.20511847908752456,0.6318264465759882,0.09365577205294784,0.5345242334443618,0.48125136707058996
