model_id,feature_set,validation_scheme,year,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
ridge_alpha_1,F1_season_only,river_year_groupkfold,2016,37,4,,2.2512844567680985,1.8682410770631939,1.4694520518447458,0.003805085651928719,-0.8840704923760665,-1.1141686394444656,0.38768979694344796,0.4199212427998638
ridge_alpha_1,F1_season_only,river_year_groupkfold,2017,35,3,,2.6271879913367795,2.1842079224449154,2.112741467373601,-0.012569011865025237,-0.3079788598225569,-0.6766913070968803,0.25352218932326204,0.2629992284451443
ridge_alpha_1,F1_season_only,river_year_groupkfold,2018,35,4,,2.88369561616249,2.4304761334655205,2.2698375054739945,-0.19546317616106101,-0.5672877763810641,-1.3302797975131329,0.06600337359792872,0.10134278559657287
ridge_alpha_1,F1_season_only,river_year_groupkfold,2019,26,4,,3.378155822685306,2.6260626108927827,2.260433047118326,0.17759435381081734,-0.4494858818415738,-1.3103926501245091,0.521992501924052,0.45741056545017345
ridge_alpha_1,F1_season_only,river_year_groupkfold,2020,31,3,,2.688220288930845,2.1446271615947925,1.7262657645481227,0.16806693139711082,-0.032362793889870345,-0.47258617299423644,0.42443794953071873,0.416197579360124
ridge_alpha_1,F1_season_only,river_year_groupkfold,2021,37,4,,2.482210613129511,2.0552773530407893,1.701363304331307,-0.19132169850617875,-0.5672023959499893,-0.7957472437207338,0.17614983404457088,0.19581942812984712
ridge_alpha_1,F1_season_only,river_year_groupkfold,2022,10,2,,2.998346813011659,2.3324700590580743,1.6286444667436095,0.06223477849925241,-0.633438887636797,-0.9874570421331166,0.23636363636363633,0.33246713181927295
ridge_alpha_1,F1_season_only,river_year_groupkfold,2023,12,2,,2.5133894154026595,2.0629075658539553,1.9087393328068474,0.0422185697890215,-0.4534817597775132,-0.6137739639210134,0.25874125874125875,0.3232709283118222
ridge_alpha_1,F1_season_only,river_year_groupkfold,2024,6,2,,3.3955162556104383,3.2403465636857427,3.547511474726936,-14.038585793506106,-3.2403465636857427,-3.547511474726936,0.3142857142857143,0.32715246962494526
ridge_alpha_1,F2_q_season,leave_one_river_out,2003,5,5,,2.37178914276472,2.249285419326295,2.457077534974138,0.35871138420695314,-0.03999439595809662,1.261482636682222,0.7,0.6458682542249933
ridge_alpha_1,F2_q_season,leave_one_river_out,2004,42,6,,2.7191942376834186,2.212288242093578,2.0937832208497578,0.35734134886537383,-0.49920701565936876,-0.4458535781591033,0.5641337613022421,0.6162875848504584
ridge_alpha_1,F2_q_season,leave_one_river_out,2005,42,6,,2.855184775958508,2.320423504898735,1.7621807327545413,0.11443091520543658,0.253957040851008,-0.01112282133297704,0.44905570975057285,0.4806492181074328
ridge_alpha_1,F2_q_season,leave_one_river_out,2006,11,6,,3.7368919898551027,3.2137988646444247,3.3552052893388797,-0.17825458558570118,1.5528780363174648,1.2365206783074392,0.43636363636363645,0.45397790303900887
ridge_alpha_1,F2_q_season,leave_one_river_out,2007,1,1,,0.36804270321095434,0.36804270321095434,0.36804270321095434,,-0.36804270321095434,-0.36804270321095434,,
ridge_alpha_1,F2_q_season,leave_one_river_out,2009,28,6,,3.399408995539631,2.8881170525529947,2.543875417198133,0.20120319038916523,0.21397624582300073,-1.2140741066962948,0.4412811553243447,0.4533528915962221
