model_id,feature_set,validation_scheme,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
ridge_alpha_10,F3_q_season_river_fixed,river_year_groupkfold,545,5,2180,2.2669385053296023,1.7255974607486106,1.3809765265071867,0.5891475526754404,0.022492386534869156,-0.2595825810379031,0.7946665919107894,0.7685457448940289
ridge_alpha_10,F4_reduced_hydroclimate,leave_one_river_out,511,6,2555,6.692726526523716,3.1400628350347866,2.2531301437721045,-2.5489615402969785,0.8473704890250124,-0.2445162556968441,0.48889659001679714,0.12315933553057017
ridge_alpha_10,F4_reduced_hydroclimate,leave_one_year_out,511,21,10220,2.6975072916111755,2.122512416517349,1.8208779110883517,0.42347202103615245,0.024268517646159525,-0.5323496984570508,0.6726872194306547,0.650839658209775
ridge_alpha_10,F4_reduced_hydroclimate,river_year_groupkfold,511,5,2044,2.6874434271605447,2.1108357326445786,1.8087955073855921,0.42776581939543745,0.030125353134436872,-0.498427064022553,0.6725758770656756,0.6542473699127545
ridge_alpha_10,F5_snow_hydroclimate_complete_case,leave_one_river_out,325,6,1625,9.897914722565927,3.595754211373643,2.2127764581925398,-5.762443431461778,1.2350916493873003,-0.33370028197870116,0.5249546327255611,0.05648643433046486
ridge_alpha_10,F5_snow_hydroclimate_complete_case,leave_one_year_out,325,20,6175,2.846354942028379,2.2003801427234695,1.8108174073826087,0.44076500337761537,0.026252201304347498,-0.6484280939018463,0.6877111317738784,0.6639656621006575
ridge_alpha_10,F5_snow_hydroclimate_complete_case,river_year_groupkfold,325,5,1300,2.8179662364747537,2.1730955297592165,1.7684237293509284,0.4518646637601881,0.012035507626778649,-0.6123654685067486,0.6966646645902954,0.6722920703406285
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,leave_one_river_out,511,6,2555,6.695004271246571,2.9970957186112703,2.164510903595774,-2.551377597174281,0.7210077830503279,-0.3734826142196095,0.5227099981451965,0.12442748545039158
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,leave_one_year_out,511,21,10220,2.2503758531432725,1.6606252141161055,1.2435769191125425,0.5987590479769367,0.011051072119171165,-0.239617966798912,0.8052093665106619,0.7744886069555754
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,river_year_groupkfold,511,5,2044,2.283197341524222,1.6817817722396442,1.2997809184008737,0.5869695846139156,-0.030865692773703348,-0.23751721820289706,0.8050353378545756,0.766188673533412
