model_id,feature_set,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,rmse,mae,bias_mean
linear_regression,F1_season_only,leave_one_year_out,loyo_2015,2015,2015,,511,36,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.3734778553483444,2.836364077058226,-0.8849902040119192
linear_regression,F1_season_only,leave_one_year_out,loyo_2016,2016,2016,,510,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2744606268490397,1.903362110918561,-1.0225583688240383
linear_regression,F1_season_only,leave_one_year_out,loyo_2017,2017,2017,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.6178697116040786,2.1885582212317516,-0.2880875750896083
linear_regression,F1_season_only,leave_one_year_out,loyo_2018,2018,2018,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.8743620583896017,2.4113738870315036,-0.5382360956600672
linear_regression,F1_season_only,leave_one_year_out,loyo_2019,2019,2019,,521,26,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.4431916185428113,2.6807447994891302,-0.384276255659381
linear_regression,F1_season_only,leave_one_year_out,loyo_2020,2020,2020,,516,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.6811128831475037,2.123617962468595,-0.006044396014481153
linear_regression,F1_season_only,leave_one_year_out,loyo_2021,2021,2021,,510,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.461928085986894,2.030627420543727,-0.5748637513839289
linear_regression,F1_season_only,leave_one_year_out,loyo_2022,2022,2022,,537,10,Mackenzie;Yukon,2.9942319485195505,2.339223371403628,-0.6877606319260943
linear_regression,F1_season_only,leave_one_year_out,loyo_2023,2023,2023,,535,12,Mackenzie;Yukon,2.4201895480776,1.9936535844843117,-0.5266738510726653
linear_regression,F1_season_only,leave_one_year_out,loyo_2024,2024,2024,,541,6,Mackenzie;Yukon,3.4189151802399746,3.2670832091250297,-3.2670832091250297
linear_regression,F1_season_only,river_year_groupkfold,river_year_gkf_1,Kolyma_2021;Lena_2003;Lena_2004;Lena_2010;Lena_2014;Lena_2016;Mackenzie_2007;Mackenzie_2014;Mackenzie_2019;Ob_2004;Ob_2009;Ob_2011;Ob_2013;Ob_2015;Yenisey_2006;Yenisey_2009;Yenisey_2014;Yenisey_2016;Yukon_2012;Yukon_2014;Yukon_2016;Yukon_2023,,,437,110,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.6105530919631765,2.632298754410306,1.026772877843398
linear_regression,F1_season_only,river_year_groupkfold,river_year_gkf_2,Kolyma_2003;Kolyma_2004;Kolyma_2006;Kolyma_2009;Kolyma_2018;Lena_2006;Lena_2009;Lena_2015;Mackenzie_2010;Mackenzie_2012;Mackenzie_2013;Mackenzie_2016;Mackenzie_2024;Ob_2005;Ob_2018;Yenisey_2004;Yenisey_2013;Yukon_2009;Yukon_2010;Yukon_2019;Yukon_2020;Yukon_2022,,,437,110,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2316110886271985,2.685784663591628,-0.3768208654763864
linear_regression,F1_season_only,river_year_groupkfold,river_year_gkf_3,Kolyma_2010;Kolyma_2011;Kolyma_2012;Kolyma_2014;Kolyma_2019;Lena_2005;Lena_2020;Lena_2021;Mackenzie_2005;Mackenzie_2020;Mackenzie_2023;Ob_2003;Ob_2017;Yenisey_2018;Yenisey_2019;Yenisey_2020;Yukon_2005;Yukon_2006;Yukon_2013;Yukon_2018;Yukon_2021,,,438,109,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.018175538046165,2.4223078006752927,-0.5427988398099395
linear_regression,F1_season_only,river_year_groupkfold,river_year_gkf_4,Kolyma_2005;Kolyma_2013;Kolyma_2015;Kolyma_2016;Lena_2017;Lena_2019;Mackenzie_2003;Mackenzie_2004;Mackenzie_2011;Mackenzie_2015;Mackenzie_2018;Ob_2006;Ob_2010;Ob_2012;Ob_2019;Ob_2021;Yenisey_2010;Yenisey_2017;Yenisey_2021;Yukon_2004;Yukon_2017,,,438,109,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.1373647924516637,2.6258308588838597,-0.7826581541507447
linear_regression,F1_season_only,river_year_groupkfold,river_year_gkf_5,Kolyma_2017;Kolyma_2020;Lena_2011;Lena_2012;Lena_2013;Lena_2018;Mackenzie_2006;Mackenzie_2009;Mackenzie_2017;Mackenzie_2021;Mackenzie_2022;Ob_2014;Ob_2016;Ob_2020;Yenisey_2005;Yenisey_2011;Yenisey_2012;Yenisey_2015;Yukon_2003;Yukon_2011;Yukon_2015;Yukon_2024,,,438,109,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.6080220757685044,2.606534558756889,0.6521383756342279
