scope,group_value,daily_confidence_tier,n_days,fraction_days,flux_TgC,fraction_flux
annual,Yenisey_2024,medium,204,1.0,4.787767362427103,1.0
annual,Yenisey_2025,medium,61,1.0,0.8118524062248996,1.0
annual,Yukon_2000,low,0,0.0,0.0,1.0
annual,Yukon_2001,low,275,0.7534246575342466,1.4146624639735046,1.0
annual,Yukon_2002,high,365,1.0,1.2715325070985593,1.0
annual,Yukon_2003,high,365,1.0,1.1421434482009216,1.0
annual,Yukon_2004,high,366,1.0,1.0684790024962143,1.0
annual,Yukon_2005,high,365,1.0,1.8696873336400532,1.0
annual,Yukon_2006,high,365,1.0,1.4158400144892749,1.0
annual,Yukon_2007,high,365,1.0,1.048010330324265,1.0
annual,Yukon_2008,high,366,1.0,1.2230967772447396,1.0
annual,Yukon_2009,high,365,1.0,1.3235065861619277,1.0
annual,Yukon_2010,high,365,1.0,0.9354817786977866,1.0
annual,Yukon_2011,high,365,1.0,1.2846765385673722,1.0
annual,Yukon_2012,high,366,1.0,1.5280901963114486,1.0
annual,Yukon_2013,high,365,1.0,1.3326437301309204,1.0
annual,Yukon_2014,high,365,1.0,1.4341983650643935,1.0
annual,Yukon_2015,high,365,1.0,1.3016945446048895,1.0
annual,Yukon_2016,high,366,1.0,1.595349758786363,1.0
annual,Yukon_2017,high,365,1.0,1.0604354562671892,1.0
annual,Yukon_2018,high,365,1.0,1.4808705197028114,1.0
annual,Yukon_2019,high,365,1.0,1.2641426432273928,1.0
annual,Yukon_2020,high,366,1.0,1.8664323129515787,1.0
annual,Yukon_2021,high,365,1.0,1.4745661130220757,1.0
annual,Yukon_2022,high,365,1.0,1.7598379120113845,1.0
annual,Yukon_2023,high,365,1.0,1.8549181354595892,1.0
annual,Yukon_2024,high,366,1.0,1.631706288700212,1.0
annual,Yukon_2025,high,279,1.0,1.5078134000430934,1.0
