river,year,n_days_expected,date_min,date_max,n_days_with_flux,annual_flux_kgC,annual_flux_MgC,annual_flux_TgC,annual_flux_80_lower_TgC,annual_flux_80_upper_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,annual_flux_95_lower_TgC,annual_flux_95_upper_TgC,n_outside_training_logQ_days,n_outside_training_doy_days,n_outside_training_year_days,n_point_prediction_clipped_days,n_interval_lower_clipped_days,n_high_confidence_days,n_low_confidence_days,n_medium_confidence_days,flux_from_high_confidence_days_TgC,flux_from_low_confidence_days_TgC,flux_from_medium_confidence_days_TgC,coverage_rate,fraction_flux_from_low_confidence_days,annual_confidence_tier,notes
Ob,2009,365,2009-01-01,2009-12-31,365.0,3942709696.6480594,3942709.6966480594,3.942709696648059,2.969618358682438,4.810274678717624,2.766475144280295,5.546577307580122,2.708952366892724,5.899295339596374,0.0,19.0,0.0,0.0,0.0,346.0,19.0,0.0,3.8836230723383376,0.05908662430972185,0.0,1.0,0.014986298473852903,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2010,365,2010-01-01,2010-12-31,365.0,3569067182.9775033,3569067.182977503,3.5690671829775034,2.6735894185376257,4.36743535289068,2.4866488669196554,5.045010629044549,2.433714094930949,5.369595940273273,35.0,19.0,0.0,0.0,0.0,311.0,54.0,0.0,3.4469618705976925,0.12210531237981084,0.0,1.0,0.03421210812791262,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2011,365,2011-01-01,2011-12-31,365.0,3957221796.0280066,3957221.796028007,3.9572217960280067,2.9648360190242027,4.841988842287352,2.757664884309361,5.592890867559998,2.699001546238214,5.952602586911533,10.0,19.0,0.0,0.0,0.0,336.0,29.0,0.0,3.539631506641212,0.4175902893867943,0.0,1.0,0.10552612689183694,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2012,366,2012-01-01,2012-12-31,366.0,2721498794.3199286,2721498.7943199286,2.721498794319929,1.9840577180546413,3.378968477941815,1.8301090137347606,3.9369631716573026,1.7865163341871828,4.204264662277938,0.0,20.0,0.0,0.0,0.0,346.0,20.0,0.0,2.6472396558036335,0.07425913851629518,0.0,1.0,0.027286118469455972,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2013,365,2013-01-01,2013-12-31,365.0,3674992560.4503455,3674992.5604503457,3.6749925604503457,2.758826164502311,4.4918057945863135,2.567566639996415,5.1850354016058455,2.513408891809827,5.517119755427962,32.0,19.0,0.0,0.0,0.0,314.0,51.0,0.0,3.5482739829134675,0.12671857753687799,0.0,1.0,0.03448131539111183,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2014,365,2014-01-01,2014-12-31,365.0,4946947539.556345,4946947.539556345,4.946947539556345,3.771740605810811,5.994709802587602,3.5264036011593642,6.883945911279429,3.456933075426904,7.309925118687832,0.0,19.0,0.0,0.0,0.0,346.0,19.0,0.0,4.812173417981518,0.13477412157482685,0.0,1.0,0.02724389545212637,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2015,365,2015-01-01,2015-12-31,365.0,5771512611.062654,5771512.611062653,5.771512611062653,4.441336635700135,6.957438383074325,4.163648187747683,7.963933898240201,4.085016908717865,8.446084991318516,0.0,19.0,0.0,0.0,0.0,346.0,19.0,0.0,5.6425055412475125,0.1290070698151404,0.0,1.0,0.022352384636198094,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2016,366,2016-01-01,2016-12-31,366.0,4655906590.068793,4655906.590068793,4.655906590068793,3.5213026030360672,5.667469070651557,3.284441897358448,6.525982414441677,3.217371551520635,6.937244204378723,1.0,20.0,0.0,0.0,0.0,345.0,21.0,0.0,4.5133769612722165,0.14252962879657674,0.0,1.0,0.03061264783546072,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2017,365,2017-01-01,2017-12-31,365.0,4661911721.049173,4661911.721049173,4.661911721049173,3.54314313710864,5.659356060134074,3.3095882410297652,6.505887333515209,3.243453980358242,6.911409238616223,1.0,19.0,0.0,0.0,0.0,345.0,20.0,0.0,4.54627185086387,0.11563987018530308,0.0,1.0,0.024805246668051038,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Ob,2018,365,2018-01-01,2018-12-31,365.0,4471495130.533907,4471495.130533908,4.471495130533907,3.405157915308647,5.4221939918978315,3.1825486276847728,6.229052366020994,3.119513765633979,6.615569385899381,18.0,19.0,0.0,0.0,0.0,328.0,37.0,0.0,3.734083453338344,0.7374116771955637,0.0,1.0,0.16491389471948614,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
