prediction_id,river,date,year,month,doy,Q_m3s,DOC_predicted_mgC_L,prediction_status,missing_predictor_reason,flux_status,missing_flux_reason,model_spec_id,model_fit_id,freeze_id
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-23,Kolyma,2009-01-23,2009,1,23,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-24,Kolyma,2009-01-24,2009,1,24,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-25,Kolyma,2009-01-25,2009,1,25,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-26,Kolyma,2009-01-26,2009,1,26,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-27,Kolyma,2009-01-27,2009,1,27,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-28,Kolyma,2009-01-28,2009,1,28,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-29,Kolyma,2009-01-29,2009,1,29,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-30,Kolyma,2009-01-30,2009,1,30,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-31,Kolyma,2009-01-31,2009,1,31,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-02-01,Kolyma,2009-02-01,2009,2,32,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
