river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language
Mackenzie,core_2003_2024,annual_mean_DOC_mgC_L,mg C/L/year,22,2003,2024,4.735440218835495,4.773675997088163,-0.011817030492657098,28.529031115800564,0.1534055757345247,0.0991874871573824,-0.01597231258842924,-0.23809523809523808,0.12887799882436143,-0.24954449737648798,-5.240434444906247,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,flow_weighted_DOC_mgC_L,mg C/L/year,22,2003,2024,5.0939021173769445,5.1121769079061155,-0.013593650558164212,32.46471751624058,0.17973451743407257,0.08812276953901037,-0.01645453130066521,-0.1948051948051948,0.21747455727039447,-0.2668612439919464,-5.604086123830874,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,annual_flux_TgC,Tg C/year,22,2003,2024,4.131361117278849,3.949965746338033,0.02649453417049404,-49.2153834350109,0.28958837443273755,0.0558673875755042,0.02161864956532818,0.18614718614718614,0.23937855648715442,0.6413027914622205,13.467358620706632,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,annual_Q_volume_km3,km3/year,22,2003,2024,412.38978021818184,401.341824,2.2916247652173904,-4201.796684547034,0.2572503050349115,0.06367196486169022,2.2850495999999985,0.18614718614718614,0.23937855648715442,0.5556938787389365,11.66957145351767,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,annual_mean_DOC_mgC_L,mg C/L/year,22,2003,2024,8.785935267920793,8.745155779265241,0.014230429646675142,-19.8670348256596,0.16598574100549618,0.09366709842920862,0.01488211214993586,0.1515151515151515,0.34184283041857333,0.16196829606329202,3.4013342173291328,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,flow_weighted_DOC_mgC_L,mg C/L/year,22,2003,2024,9.973083357879899,9.95050297340336,0.007605695390598435,-5.340984311090049,0.5388299137633619,0.019176472252168744,0.0071654501225166005,0.09956709956709957,0.5394123595200279,0.07626222621100472,1.6015067504310994,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,annual_flux_TgC,Tg C/year,14,2007,2024,3.940353482236102,3.945792241487998,0.0030672012917820164,-2.2409334639308844,0.9394281441457623,0.0005015117363235918,0.0018908884010900263,0.03296703296703297,0.9144846237132943,0.0778407649366883,1.3232930039237012,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,annual_Q_volume_km3,km3/year,14,2007,2024,478.9498834285714,488.722896,0.4139825991316945,-355.34333456440197,0.9084420198325922,0.0011483322152239775,0.34509176470588526,0.03296703296703297,0.9144846237132943,0.08643547340865658,1.4694030479471618,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,annual_mean_DOC_mgC_L,mg C/L/year,14,2007,2024,6.480046644273626,6.495245958418856,0.03020935580582625,-54.40043654898221,0.3454449809377561,0.07439466646158395,0.02601308588107252,0.16483516483516486,0.4505630133066889,0.46619040670829204,7.925236914040965,flat_or_uncertain,False,no detectable trend
Yenisey,core_2003_2024,flow_weighted_DOC_mgC_L,mg C/L/year,14,2007,2024,8.16676741818247,8.190960545956429,1.5997883294463555e-05,8.134527112520328,0.999505262349458,3.3401304939495745e-08,-0.0035388843274724024,-0.05494505494505495,0.8299103030594847,0.0001958900318239247,0.00333013054100672,flat_or_uncertain,False,no detectable trend
Yukon,core_2003_2024,annual_flux_TgC,Tg C/year,22,2003,2024,1.4043548993664907,1.3742418723100975,0.02179237137934537,-42.474584872945414,0.015080436976444714,0.2611282837235277,0.025538094465967026,0.37662337662337664,0.014016594956789027,1.5517709511446134,32.58718997403688,increasing,True,detectable increasing trend
Yukon,core_2003_2024,annual_Q_volume_km3,km3/year,22,2003,2024,220.27969047272725,216.483624,2.3798816090344443,-4571.611929318126,0.0020853174903879613,0.38438213415721456,2.611620654545455,0.47186147186147187,0.0017126765454685755,1.0803908448968411,22.68820774283366,increasing,True,detectable increasing trend
Yukon,core_2003_2024,annual_mean_DOC_mgC_L,mg C/L/year,22,2003,2024,4.664183749322939,4.696896312452793,0.07485601303655492,-146.0583984997804,1.5842880015773423e-06,0.6922226758141924,0.08200850535033363,0.6969696969696969,7.127533877138262e-07,1.6049113212450334,33.70313774614571,increasing,True,detectable increasing trend
Yukon,core_2003_2024,flow_weighted_DOC_mgC_L,mg C/L/year,22,2003,2024,6.319589701571648,6.3668513844337316,0.030766493102172648,-55.62874415965298,0.10647461424478465,0.1250145076127531,0.04162614889437292,0.341991341991342,0.02657260837891985,0.4868432058891607,10.223707323672372,flat_or_uncertain,False,no detectable trend
