river,year,season_window,seasonal_flux_TgC,seasonal_fraction_of_annual,seasonal_Q_volume_km3,seasonal_flow_weighted_DOC,n_days_with_flux,fraction_flux_from_low_confidence_days,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Kolyma,2012,winter,0.011801946129913293,0.020009447532022415,2.3874048,4.943420625574173,91,0.19150628527842253,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2012,spring_transition,0.0012697336548954585,0.0021527524924790003,0.493344,2.5737287874089043,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2012,may_july,0.40913591680919836,0.6936638729531033,48.175257599999995,8.492656545944483,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2012,late_summer,0.14922540625677141,0.2530021662589587,28.751328,5.190209170747688,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2012,fall_winter,0.018385687096840707,0.03117176076341898,6.170255999999999,2.979728409460293,92,0.03613473974117355,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2013,winter,0.004186714781397056,0.004933896002859991,1.3106016,3.194498451243349,90,0.4174967080152395,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2013,spring_transition,0.0009453236078662014,0.0011140305976859196,0.42379199999999995,2.2306310828571596,30,0.1143126438823721,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2013,may_july,0.5216686019631913,0.6147680853446825,61.4330784,8.491656539926794,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2013,late_summer,0.2888061353187758,0.3403478648658423,46.559232,6.202983230453174,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2013,fall_winter,0.03295484357857326,0.038836123188917736,8.6661792,3.802695838389294,92,0.01909598941446231,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,winter,0.004926941573522151,0.00489047199830226,1.4408063999999998,3.4195722433785356,90,0.3948747969176928,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,spring_transition,0.0010666209831309312,0.001058725778043772,0.4474656,2.3836938149679687,30,0.0,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,may_july,0.7954780812232964,0.789589895360721,85.874688,9.263242752314856,92,0.2648930164845861,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,late_summer,0.1855621651917803,0.18418862072399197,32.92012799999999,5.63673887269768,61,0.0,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,fall_winter,0.020423462071333415,0.02027228613893269,6.711983999999999,3.0428353332391045,92,0.0332824638595364,medium,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2015,winter,0.007348029820616614,0.01424864419431479,1.8422208000000002,3.9886803040207077,90,0.2753022343816156,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2015,spring_transition,0.000992493267341854,0.0019245544420531922,0.43165439999999994,2.2992775408795882,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2015,may_july,0.40450684452131724,0.7843836024695937,49.026038400000004,8.250857253057593,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2015,late_summer,0.08592538768724642,0.1666188497192832,20.1498624,4.264316350232223,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2015,fall_winter,0.01692752610627569,0.03282434917473664,6.1198848,2.7659877039317045,92,0.057294856864229464,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,winter,0.005686557110298154,0.010346408228628177,1.5685056,3.6254617836867977,91,0.501701453798024,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,spring_transition,0.0009584602472087657,0.0017438708160646304,0.4270752,2.244242342352741,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,may_july,0.35319930149574646,0.6426285867635845,44.849116800000004,7.875278861583961,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,late_summer,0.1586909858456536,0.2887303670597448,30.50784,5.201646063623536,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,fall_winter,0.031081237065174485,0.05655076713196036,8.277465600000001,3.754921925036684,92,0.03186762461520485,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,winter,0.00578835712665888,0.0045857436170021375,1.5696288000000003,3.687723573025508,90,0.24477074838810906,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,spring_transition,0.0007880146023783799,0.0006242933623286945,0.386208,2.0403891229036675,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,may_july,1.0124068809375282,0.8020649539203724,105.28021439999998,9.616307173264374,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,late_summer,0.1585645032823292,0.12562047276957994,30.768768000000005,5.153423864170705,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,fall_winter,0.08470273385124841,0.06710453633070798,16.485120000000002,5.138132682761967,92,0.04062313105664873,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,winter,0.018061923436209104,0.015906538225947356,3.3546527999999993,5.384140926957749,90,0.3101065483368577,low,False,False,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,spring_transition,0.003562131103238076,0.003137050976857907,0.8913024,3.9965460692570307,30,0.0,low,False,False,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,may_july,0.8901651770127792,0.7839390121195641,92.9561184,9.576187047551919,92,0.48040452255235705,low,False,False,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,late_summer,0.18372595609159692,0.1618013692722797,32.942592000000005,5.577155437301348,61,0.0,low,False,False,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,fall_winter,0.039987910493868704,0.03521602940533693,9.912671999999999,4.034019333422181,92,0.13480612048257276,low,False,False,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count
Kolyma,2019,winter,0.0160974189710777,0.025431871095706972,3.0836159999999997,5.22030595608621,90,0.26941829325973293,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2019,spring_transition,0.0033113518975249035,0.005231514117989067,0.8513855999999999,3.889367987344247,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2019,may_july,0.4902776413762161,0.7745762099495395,55.57308480000001,8.822213903378985,92,0.11086860889484546,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2019,late_summer,0.100156104320274,0.1582338845188708,22.344768000000002,4.4823067449291445,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2019,fall_winter,0.023119915121445435,0.03652652031786696,7.118150399999999,3.2480228461385425,92,0.09862140095533141,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,winter,0.007757361275410357,0.013668061171125725,1.8740160000000001,4.139431720652967,91,0.5754655065601815,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,spring_transition,0.0007903912984811805,0.0013926277548798052,0.39156480000000005,2.018545330124619,30,0.42906819185027917,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,may_july,0.4182337046251973,0.7369057151900317,52.573968,7.955148156692325,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,late_summer,0.11070056449505031,0.19504855239792304,23.816159999999996,4.648128182505212,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,fall_winter,0.030071867499589296,0.052985043486018554,8.310988799999999,3.61832607686747,92,0.06278071892882556,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,winter,0.012468161734212968,0.017363073325896126,2.598912,4.797454370989235,90,0.3701168318828913,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,spring_transition,0.0023668857536429506,0.003296108261232433,0.6943104000000001,3.408973498946509,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,may_july,0.4972282701514578,0.6924365514651563,58.1279328,8.554033253896504,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,late_summer,0.14489093899748132,0.20177409081628447,28.698624000000002,5.048706829898341,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,fall_winter,0.06113069872747759,0.08513017613141016,13.2915168,4.599226683254251,92,0.06381432521842641,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2022,winter,0.0329031496384522,0.04389788624990637,5.0075712,6.5706803406922365,90,0.21091170265476597,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2022,spring_transition,0.0039049809239802996,0.005209848002168502,0.9446112000000001,4.133955773530734,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2022,may_july,0.5069409078383904,0.676337510306529,60.7023936,8.351250713092051,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2022,late_summer,0.12093388306003289,0.1613444883138103,25.216704,4.795784693353896,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2022,fall_winter,0.0848554378837601,0.11321026712756133,16.666300800000002,5.091438040273778,92,0.04289668778265815,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2023,winter,0.0281654200065053,0.03484101577594727,4.5889632,6.137643467376218,90,0.2941508438123614,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2023,spring_transition,0.005276319951232801,0.006526881069672954,1.150848,4.584723570127533,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2023,may_july,0.520947242277518,0.6444189748434459,60.129647999999996,8.663733442735642,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2023,late_summer,0.17346101069862171,0.21457367967055244,31.796064,5.4554240014935385,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2023,fall_winter,0.080548366850709,0.09963944864035955,15.7785408,5.1049313033251815,92,0.036443195189896783,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2024,winter,0.0302591302655276,0.0323737507309478,4.8580128,6.228705339255706,91,0.23356411430937637,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2024,spring_transition,0.016888726704176897,0.018068973684514832,2.5494048,6.624576334122493,30,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2024,may_july,0.5127185699418341,0.5485492488637312,62.99622720000001,8.138877401563466,92,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2024,late_summer,0.2595022839952567,0.2776372679073625,43.028064,6.031000697481056,61,0.0,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2024,fall_winter,0.11531230634712201,0.12337075881342513,20.334931200000003,5.670651413225658,92,0.04782778665965385,high,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2025,winter,0.025491253093436413,0.025627991140313052,4.2487200000000005,5.999748887533259,90,0.3320899451415984,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2025,spring_transition,0.0021257804955870443,0.0021371834294479095,0.6545663999999999,3.247616277870424,30,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2025,may_july,0.6554645035058726,0.6589804913499318,73.34184959999999,8.937114445309502,92,0.08237352362452295,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2025,late_summer,0.2009485283627144,0.20202643964429542,35.895744,5.598115708723516,61,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2025,fall_winter,0.11063443843860099,0.11122789443599498,19.7652096,5.597433099753523,92,0.05024393138600895,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Lena,2000,winter,0.2557644270914352,0.03619435152176838,27.771552,9.2095835008227,91,0.016838035471793782,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2000,spring_transition,0.0493032690939695,0.006977122944941504,7.231679999999999,6.817678477749428,30,0.0,high,False,True,False,False,outside_core_2003_2024_period;outside_training_year_range
