river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language
Lena,core_2003_2024,fraction_flux_after_july,fraction/year,22,2003,2024,0.2925206985385407,0.2923711981189849,-0.0012216643814354244,2.7523419305587673,0.5535272013597611,0.017834305833446834,-0.0021996651178303184,-0.1341991341991342,0.4020304086977944,-0.4176334828745343,-8.77030314036522,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,flux_centroid_doy,day/year,22,2003,2024,190.28850199319825,190.16290078572354,-0.017094339935626052,224.7079554535813,0.9385772403281103,0.0003043646911286476,-0.11835309569374886,-0.09956709956709957,0.5394123595200279,-0.008983380370631684,-0.1886509877832654,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,flux_25pct_doy,day/year,22,2003,2024,146.95454545454547,146.5,-0.09881422924901187,345.91699604743087,0.5820001858986356,0.015413450393351248,-0.21052631578947367,-0.2327933007184432,0.13954290785010748,-0.0672413561236703,-1.4120684785970765,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,flux_50pct_doy,day/year,22,2003,2024,185.04545454545453,184.5,0.14398644833427443,-104.87125917560704,0.5606585219779486,0.017206236423875927,0.0,0.008912422347029035,0.9547197116240524,0.07781139433441507,1.6340392810227164,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,flux_75pct_doy,day/year,22,2003,2024,242.36363636363637,243.5,-0.06549971767363072,374.2473178994918,0.8346732982465992,0.002230640539968848,-0.1111111111111111,-0.05251955486539652,0.7345722187635799,-0.02702538988784463,-0.5675331876447373,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,active_flux_season_length,days/year,22,2003,2024,199.36363636363637,195.5,0.36702428006775834,-539.639751552795,0.596505050636923,0.01426642675207929,0.5555555555555556,0.07809129001694393,0.6116184076162213,0.18409790609873877,3.866056028073514,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,fraction_flux_after_july,fraction/year,22,2003,2024,0.36089275044887886,0.36050019864653055,0.0005307115966583562,-0.7076950494227214,0.7132807296019177,0.006897935986779524,0.00020174904761233685,0.0303030303030303,0.8672669832921104,0.14705521127765975,3.0881594368308547,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,flux_centroid_doy,day/year,22,2003,2024,197.36817744700355,198.32426687051498,-0.1000781004209217,398.8754326445294,0.6827683401074083,0.008525926296574386,-0.004133842762175019,-0.012987012987012986,0.9555771436337516,-0.050706300131790116,-1.0648323027675926,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,flux_25pct_doy,day/year,22,2003,2024,157.8181818181818,159.0,-0.132128740824393,423.8594014680971,0.614613069986619,0.012911897451859824,-0.2,-0.10133731998488409,0.5151764974787713,-0.08372212840255316,-1.7581646964536166,flat_or_uncertain,False,no detectable trend
Ob,core_2003_2024,flux_50pct_doy,day/year,22,2003,2024,192.72727272727272,193.0,0.011293054771315657,169.98870694522864,0.9723854094184874,6.142992903000315e-05,-0.05555555555555555,-0.02625977743269826,0.8653837905831963,0.005859603890776993,0.12305168170631685,flat_or_uncertain,False,no detectable trend
