river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language,season_window
Lena,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.25410329252080555,0.25676076013072635,-0.00033016871795451413,0.9188980061222197,0.8833053281255714,0.0011038710905898015,-0.0010585318419947254,-0.06493506493506493,0.6964081768655271,-0.12993484447962456,-2.7286317340721156,flat_or_uncertain,False,no detectable trend,winter
Lena,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.04073529048119687,0.04090238672981427,0.00024623718266138196,-0.4550632768074957,0.49933772025603596,0.023121890680294598,-1.6779114990043976e-05,-0.004329004329004329,1.0,0.6044812243944678,12.694105712283827,flat_or_uncertain,False,no detectable trend,winter
Lena,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,27.367840145454547,27.722735999999998,-0.016725937436476577,61.04551517380014,0.9251394532760238,0.0004525091602937275,-0.08828047058823492,-0.05627705627705628,0.7380940484479567,-0.061115299371750184,-1.2834212868067538,flat_or_uncertain,False,no detectable trend,winter
Lena,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,9.167833430395193,9.262987255313856,0.0007226561077488252,7.712765357442933,0.9750365085129113,5.0197742369264885e-05,-0.011960981299171638,-0.06493506493506493,0.6964081768655271,0.007882517862431037,0.16553287511105177,flat_or_uncertain,False,no detectable trend,winter
Mackenzie,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.22932441082844585,0.2233806811795166,-0.0022410472560075584,4.741673060799664,0.2772648314123346,0.05871386994112069,-0.003128815023119897,-0.2813852813852814,0.07075900338074485,-0.9772388590955772,-20.52201604100712,flat_or_uncertain,False,no detectable trend,fall_winter
Mackenzie,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.15175726807284892,0.1520648233221117,-0.00036917528424289427,0.8950917028959166,0.5881653543671348,0.014919024218152653,-0.0007342635080168456,-0.1774891774891775,0.26275316600189397,-0.2432669544800167,-5.10860604408035,flat_or_uncertain,False,no detectable trend,fall_winter
Mackenzie,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,49.06876712727273,48.32352,-0.38101892625635225,816.250375144438,0.2451284498322646,0.06689890589433724,-0.5275151999999999,-0.2727272727272727,0.08028526277549888,-0.7764998971098656,-16.306497839307177,flat_or_uncertain,False,no detectable trend,fall_winter
Mackenzie,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,4.6146932686552775,4.6217933744985755,-0.01651556863117826,37.86879070753271,0.12795416557320838,0.11197839075464529,-0.01950823169070886,-0.2987012987012987,0.05442008959458163,-0.35789092946563056,-7.515709518778241,flat_or_uncertain,False,no detectable trend,fall_winter
Mackenzie,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.3167921055242442,0.3091524297219979,-0.0006565655095504109,1.6387867590039966,0.8330828349014529,0.002274359147677299,-0.0031970301787114163,-0.2121212121212121,0.17796763426213033,-0.2072543785344309,-4.3523419492230495,flat_or_uncertain,False,no detectable trend,late_summer
Mackenzie,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.2091354823760254,0.20522493062545294,0.0008998868809011755,-1.6027867523184913,0.3133892526319971,0.05076321240827987,0.0009228635053356235,0.16017316017316016,0.31397950542939346,0.4302889546419386,9.036068047480711,flat_or_uncertain,False,no detectable trend,late_summer
Mackenzie,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,65.56471854545454,64.65744000000001,-0.14658201513269328,360.70760601513246,0.7565785441301875,0.004913689275118207,-0.5046377142857149,-0.2207792207792208,0.16029274039086885,-0.22356843495190373,-4.694937133989979,flat_or_uncertain,False,no detectable trend,late_summer
