river,year,annual_flux_TgC,annual_Q_volume_km3,annual_mean_DOC_mgC_L,flow_weighted_DOC_mgC_L,annual_flux_yield_gC_m2_yr,n_days_with_flux,coverage_rate,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,caveat_reason
Ob,2002,6.014554945067764,556.43328,9.374834950817169,10.809121526785322,,365.0,1.0,high,False,True,outside_core_2003_2024_period;outside_training_year_range
Ob,2003,3.925575699706013,393.352416,8.583044969731096,9.979793030446297,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2004,3.480424714362392,353.5888896,8.355733194076539,9.843139354009814,,366.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2005,3.5354676231389224,363.69069120000006,8.51097647083499,9.721083625961452,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2006,3.596825489156057,363.91679999999997,8.477463223529037,9.883647825975764,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2007,5.140499281886072,491.51232000000005,9.138296049524973,10.458535977055615,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2008,4.064104539431131,406.402272,8.770536986843632,10.000201326214857,,366.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2009,3.942709696648059,397.40198399999997,8.71977457168685,9.921212916360425,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2010,3.569067182977504,365.70528,8.532728651858381,9.759408403886056,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Ob,2011,3.957221796028007,405.281664,8.822883602832851,9.764127389755304,,365.0,1.0,medium,True,False,meets_core_annual_criteria
Ob,2012,2.721498794319929,301.16448,8.35533282970519,9.036586234604853,,366.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2013,3.6749925604503457,374.154336,8.640653711367333,9.822130086046485,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Ob,2014,4.946947539556345,479.94422399999996,9.169931288529767,10.307338420133469,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2015,5.771512611062653,543.2322240000001,9.432936847386323,10.624392950339141,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2016,4.655906590068793,463.36233599999997,9.129412551902682,10.04809029206205,,366.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2017,4.661911721049173,456.89529600000003,9.040032832140284,10.203457470153452,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2018,4.471495130533907,435.482784,8.914052937460756,10.267903335838659,,365.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Ob,2019,4.425031253665647,439.033824,9.029788125093356,10.07902127756254,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2020,4.689206590767031,463.38825600000007,9.057086544748014,10.119390230655803,,366.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Ob,2021,3.763209051739778,386.440416,8.700694905778075,9.738135287950257,,365.0,1.0,high,True,True,meets_core_annual_criteria
Ob,2022,3.695153207425641,375.549696,8.50647766605642,9.839318861878777,,365.0,1.0,high,True,True,outside_training_year_range
Ob,2023,3.188036330702168,336.881376,8.45746704057982,9.463379568665049,,365.0,1.0,high,True,True,outside_training_year_range
Ob,2024,5.013147175459088,476.1936,8.945270892591074,10.527540007801631,,366.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Ob,2025,4.81577834250235,460.500768,9.00789019502649,10.457698829510639,,344.0,1.0,low,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Yenisey,2000,3.987191525016431,476.3232,6.355715549687919,8.37076910177046,,208.0,1.0,low,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2001,4.66742299701097,525.0744,6.415387985409891,8.889069809937354,,211.0,1.0,low,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2002,4.785513950728447,528.635808,6.835819046179841,9.052572448381035,,195.0,1.0,low,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2003,4.1574746357351975,470.97504000000004,6.0714209574094316,8.827377849440166,,201.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2004,4.296356514834206,495.220608,6.097144447957951,8.675641613917259,,213.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2005,3.9894128837586975,480.41855999999996,6.32852522030863,8.304035722014358,,213.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2006,3.7860978760569424,463.02624,5.78741359776783,8.176853812986803,,225.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2007,4.755622259608573,549.82368,7.134560812404165,8.649358753716415,,202.0,1.0,medium,True,False,meets_core_annual_criteria
Yenisey,2008,4.468990523099104,523.911456,6.653436856146088,8.530049251488602,,210.0,1.0,medium,True,False,meets_core_annual_criteria
Yenisey,2009,3.900111368309247,472.97952,6.348896043171553,8.245835608927099,,209.0,1.0,high,True,True,meets_core_annual_criteria
Yenisey,2010,3.900471358715519,486.90115199999997,6.353854415863751,8.010807414798474,,220.0,1.0,medium,True,False,meets_core_annual_criteria
Yenisey,2011,4.63316525491252,527.7700800000001,6.8932594663206235,8.77875694452501,,198.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2012,2.542233450173625,353.64211199999994,5.223582280343203,7.188718096372033,,215.0,1.0,high,True,True,meets_core_annual_criteria
Yenisey,2013,3.43476790779262,425.778336,5.5161066390275915,8.067033048371488,,216.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2014,4.578624857278527,531.065376,6.529850209371261,8.621584204500138,,212.0,1.0,medium,True,False,meets_core_annual_criteria
Yenisey,2015,4.262612703028921,501.172704,6.46064170746645,8.505277061196296,,208.0,1.0,high,True,True,meets_core_annual_criteria
Yenisey,2016,2.6779187914314035,367.67952,5.572601583442494,7.283296038439681,,210.0,1.0,high,True,True,meets_core_annual_criteria
Yenisey,2017,3.4410339536244337,433.172448,6.134187549768112,7.943796909318741,,205.0,1.0,high,True,True,meets_core_annual_criteria
