river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language,month
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.013112961654219652,0.013459751183606832,0.000144308596052103,-0.27745239649668973,0.25275064329895247,0.06484888688748111,3.7194335573320464e-05,0.05627705627705628,0.7380940484479567,1.1005034549587476,23.1105725541337,flat_or_uncertain,False,no detectable trend,2
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,8.492134254545455,8.504352,0.024136237605872427,-40.10618016487867,0.6767764562657124,0.008868995332444807,-0.009097411764705838,-0.047619047619047616,0.7805448221723992,0.2842187474009068,5.968593695419043,flat_or_uncertain,False,no detectable trend,2
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,9.472475231294514,9.576561820914904,0.011596796124045438,-13.877673764470977,0.6425061728759189,0.010985553613148968,-0.004180506752058832,-0.047619047619047616,0.7805448221723992,0.1224262491152549,2.5709512314203526,flat_or_uncertain,False,no detectable trend,2
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,0.061584532360505026,0.05614113114321456,0.00024417602557761167,-0.4300638951400161,0.7312104994111186,0.006031114837480285,0.00024367409213372454,0.047619047619047616,0.7805448221723992,0.3964892095765998,8.326273401108596,flat_or_uncertain,False,no detectable trend,3
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.009875391112528014,0.00896731035285249,0.00011250886273655364,-0.21666120400752273,0.31189482733671514,0.05106952368512468,8.679348641542378e-05,0.09090909090909091,0.5770090763883768,1.1392851326548863,23.924987785752613,flat_or_uncertain,False,no detectable trend,3
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,7.334786618181818,6.923664000000001,0.023331512591756105,-39.6432139853191,0.6997844361258259,0.007593840309239366,0.023327999999999884,0.047619047619047616,0.7805448221723992,0.31809395155301234,6.6799729826132594,flat_or_uncertain,False,no detectable trend,3
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,8.208541614504023,8.107170525278509,0.017028028771533345,-26.07739431697837,0.5603514204054302,0.017232977977273016,0.008699015957057491,0.03896103896103896,0.8236433617484156,0.2074428025246993,4.356298853018686,flat_or_uncertain,False,no detectable trend,3
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,0.03855405218988063,0.03683347084191805,0.00017464965910883807,-0.3131030364257648,0.7492504167110159,0.005223608449306966,-6.861004268543178e-05,-0.004329004329004329,1.0,0.45299948822157465,9.51298925265307,flat_or_uncertain,False,no detectable trend,4
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.006143549386247575,0.005591211039889726,6.997338427736117e-05,-0.13474785985621912,0.39898720598435233,0.03580916419196292,4.845142466143301e-05,0.09956709956709957,0.5394123595200279,1.1389732527258203,23.918438307242226,flat_or_uncertain,False,no detectable trend,4
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,6.048832581818183,5.930496,0.02164068752117446,-37.524691742066594,0.7031416127353212,0.007417193943051627,-0.006911999999999807,-0.012987012987012986,0.9555771436337516,0.35776634959649706,7.513093341526439,flat_or_uncertain,False,no detectable trend,4
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,6.12251050843893,6.209958398932213,0.017308807433228043,-28.728773258365734,0.6172940981884844,0.012718444629206106,-0.005097647552844216,-0.0303030303030303,0.8672669832921104,0.28270768027871146,5.936861285852941,flat_or_uncertain,False,no detectable trend,4
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,0.6506021525492289,0.6118367742907969,0.007675796715583034,-14.80461453427721,0.6590116763816172,0.009932818443850992,0.006907024359097979,0.05627705627705628,0.7380940484479567,1.1797988502662127,24.775775855590464,flat_or_uncertain,False,no detectable trend,5
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.10186515008821408,0.09684952359353068,0.0018607215640682989,-3.6446977191633056,0.47785616827031363,0.025492958155869504,0.0017952356238145673,0.12554112554112554,0.4343099494437716,1.8266517670242814,38.35968710750991,flat_or_uncertain,False,no detectable trend,5
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,46.93162385454545,45.387648,0.46595495607001686,-891.2686801924334,0.6493999392675139,0.010538183115593614,0.551304,0.05627705627705628,0.7380940484479567,0.9928379156752487,20.84959622918022,flat_or_uncertain,False,no detectable trend,5
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,12.198031998351025,13.210433794190596,0.14643497260327845,-282.64878533835014,0.18089170959073866,0.08767709516916339,0.04859814132305473,0.10822510822510822,0.5030535233842987,1.200480312095214,25.210086553999496,flat_or_uncertain,False,no detectable trend,5
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,2.516474339214095,2.4414152733372365,-0.009784134878665418,22.216829917406915,0.5525542899899208,0.017921149942281348,-0.012771554457279177,-0.1341991341991342,0.4020304086977944,-0.3888032842695722,-8.164868969661017,flat_or_uncertain,False,no detectable trend,6
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.40174581597260467,0.40742597151197535,0.0004114797977982516,-0.42676875689417487,0.8569377433487375,0.0016646543719694873,-5.529502225738191e-05,-0.004329004329004329,1.0,0.10242292052303804,2.150881330983799,flat_or_uncertain,False,no detectable trend,6
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,182.35980261818182,176.36615999999998,-0.5572606319593453,1304.4040850683236,0.5629707366772052,0.017005770137372752,-0.6528599999999862,-0.11688311688311688,0.4680001686472355,-0.30558304185386564,-6.417243878931178,flat_or_uncertain,False,no detectable trend,6
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,13.723142533426229,13.774633511876353,-0.010980477791672492,35.83233456695879,0.5654864386597671,0.016789407967390483,-0.013734021100476588,-0.10822510822510822,0.5030535233842987,-0.08001430987783392,-1.6803005074345128,flat_or_uncertain,False,no detectable trend,6
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,0.9802774324746426,0.9835067624523488,-0.011375670878372414,23.885190746077498,0.07132467597076224,0.15352029394879244,-0.010929420639041813,-0.22943722943722944,0.14394595959507928,-1.1604542246428462,-24.36953871749977,flat_or_uncertain,False,no detectable trend,7
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.156989495533194,0.15555713531035326,-0.0013667475473698812,2.9089356821624497,0.18847852370015356,0.08482953973535717,-0.0013428100943471803,-0.12554112554112554,0.4343099494437716,-0.8705980885714069,-18.282559859999544,flat_or_uncertain,False,no detectable trend,7
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,100.56260945454545,101.84831999999999,-0.8826128334274418,1877.7035495606995,0.06784242474287104,0.15707719051452232,-0.9077082352941157,-0.2121212121212121,0.17796763426213033,-0.877674951171971,-18.431173974611394,flat_or_uncertain,False,no detectable trend,7
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,9.679014503075754,9.65653248518672,-0.03114286181948109,72.38516677660093,0.06835699204655507,0.15654041444041528,-0.026538327789647504,-0.24675324675324675,0.11503559714073973,-0.3217565363662246,-6.756887263690717,flat_or_uncertain,False,no detectable trend,7
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,0.6558711470437917,0.5828451272185342,-0.0031692186388191206,7.037092876306091,0.7338751252776611,0.005907803978319166,-0.00628867256321175,-0.11688311688311688,0.4680001686472355,-0.48320751005799556,-10.147357711217907,flat_or_uncertain,False,no detectable trend,8
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.10208091209407849,0.09673225329097387,-0.00029420583493493013,0.6944643607355603,0.7965271469618921,0.0034024720105145802,-0.0007547443928111637,-0.10822510822510822,0.5030535233842987,-0.2882084700260005,-6.05237787054601,flat_or_uncertain,False,no detectable trend,8
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,79.8881890909091,73.71216000000001,-0.33725759457933324,758.9563557763965,0.6714179121425261,0.00918247529891229,-0.5322239999999965,-0.11688311688311688,0.4680001686472355,-0.42216202221776433,-8.865402466573052,flat_or_uncertain,False,no detectable trend,8
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,7.950041025926541,7.840706216488885,-0.021427674016028825,51.09466265720058,0.5216637029525375,0.020828721715224884,-0.02871249171472799,-0.11688311688311688,0.4680001686472355,-0.2695290998643812,-5.660111097152006,flat_or_uncertain,False,no detectable trend,8
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,0.6401912598122302,0.5882969528636979,-0.007802443817594911,16.350411886539586,0.38928638168280416,0.037280474264511206,-0.0079978270931644,-0.11688311688311688,0.4680001686472355,-1.218767625769116,-25.594120141151432,flat_or_uncertain,False,no detectable trend,9
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.09976108808650602,0.0920680570018783,-0.0007900375317655789,1.6905016582964991,0.483792987357886,0.02482082115922625,-0.0005454955172772666,-0.07359307359307359,0.6555978590524786,-0.7919295457969665,-16.630520461736296,flat_or_uncertain,False,no detectable trend,9
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,75.09711272727272,71.38368000000001,-0.6947735742518347,1474.023704483342,0.3590773559697362,0.0421998282577074,-0.7672320000000014,-0.1341991341991342,0.4020304086977944,-0.9251668260203519,-19.42850334642739,flat_or_uncertain,False,no detectable trend,9
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,8.251484061353914,8.22343573244174,-0.031821594760782376,72.32426511218924,0.3524462706777588,0.04335342100363178,-0.030627564621300837,-0.09956709956709957,0.5394123595200279,-0.3856469275608229,-8.09858547877728,flat_or_uncertain,False,no detectable trend,9
